Medal,Name,Event,Games
Gold,Juwita Niza Wasni,Women 's Nanquan,2014 Asian Games
Gold,Lindswell Kwok,Women 's Taijiquan & Taijijian,2018 Asian Games
Silver,Susyana Tjhan,Women 's Changquan,2006 Asian Games
Silver,Ivana Ardelia Irmanto,Women 's Nanquan,2010 Asian Games
Silver,Lindswell Kwok,Women 's Taijiquan,2014 Asian Games
Silver,Edgar Xavier Marvelo,Men 's Changquan,2018 Asian Games
Bronze,Jainab,Women 's Taijiquan,1998 Asian Games
Bronze,Susyana Tjhan,Women 's Changquan,2010 Asian Games
Bronze,Ivana Ardelia Irmanto,Women 's Nanquan,2014 Asian Games
Bronze,Achmad Hulaefi,Men 's Daoshu & Gunshu,2018 Asian Games
Bronze,Yusuf Widiyanto,Men 's Sanda 56 kg,2018 Asian Games
Bronze,Puja Riyaya,Men 's Sanda 70 kg,2018 Asian Games
