Call letters,Channel,Network ( s ),City and state,Meaning or notes
KIAH,34 PSIP 39,The CW,"Houston , Texas",IAH = Houston 's IATA airport code
KICU-TV,36 PSIP 36,Independent,"San Jose , California",I See You
KIDK,36 PSIP 3,3.1 CBS 34.2 KXPI-LD,"Idaho Falls , Idaho",ID aho Falls
KIDY,19 PSIP 6,6.1 Fox 19.2 MyNetworkTV,"San Angelo , Texas",
KIEM-TV,3 PSIP 3,NBC,"Eureka , California",K eep I nformed E very M inute
KIFI-TV,8 PSIP 8,8.1 ABC 8.2 Telemundo 8.3 The CW 8.4 Local News Now,"Idaho Falls , Idaho","I daho F alls , I daho"
KIII,8 PSIP 3,3.1 ABC 8.2 MeTV,"Corpus Christi , Texas",Roman numeral 3 III
KIIN,12 PSIP 12,PBS,"Iowa City , Iowa",
KIKU,19 PSIP 20,"Independent , ethnic","Honolulu , Hawaii",The station broadcasts some Japanese shows ; kiku ( ) is the Japanese verb for listening
KILM,44 PSIP 64,Ion Plus,"Barstow , California",F ilm '
KIMA-TV,33 PSIP 29,29.1 CBS 33.2 The CW,"Yakima , Washington",Ya kima ; digital subchannel 33.2 brands by its cable channel number 9
KIMT,24 PSIP 3,3.1 CBS 3.2 MyNetworkTV,"Mason City , Iowa",I owa- M innesota T elevision
KINC,16 PSIP 15,15.1 Univision 27.2 KELV-LD,"Las Vegas , Nevada","In Spanish , the letters phonetically spell out quince ( fifteen ) , the PSIP channel number"
KING-TV,48 PSIP/cable 5,NBC,"Seattle , Washington",King County
KINT-TV,25 PSIP 26,Univision,"El Paso , Texas",
KION-TV,32 PSIP 46,46.1 CBS 32.2 The CW,"Monterey , California",Digital subchannel 32.2 brands as cable channel 14
KIPT,22 PSIP 13,PBS,"Twin Falls , Idaho",Rebroadcasts KAID Boise
KIRO-TV,39 PSIP 7,7.1 CBS,"Seattle , Washington",
KISU-TV,17 PSIP 10,PBS,"Pocatello , Idaho",I daho S tate U niversity ; rebroadcaster of KAID Boise
KITU-TV,29 PSIP 34,TBN,"Beaumont , Texas",
