Title,Publisher,Release Date,CERO
Zelda no Densetsu : Yume o Miru Shima DX,Nintendo,"June 8 , 2011",B
Trade & Battle : Card Hero,Nintendo,"August 10 , 2011",A
Balloon Fight GB,Nintendo,"October 19 , 2011",A
Metafight EX,Sunsoft,"November 22 , 2011",A
Wario Land 2 : Nusumareta Zaihō,Nintendo,"April 4 , 2012",A
Megami Tensei Gaiden : Last Bible,Atlus,"April 25 , 2012",A
Wario Land 3 : Fushigi na Orgel,Nintendo,"May 2 , 2012",A
Rayman : Mister Dark no Wana,Ubisoft,"July 25 , 2012",A
Megami Tensei Gaiden : Last Bible II,Atlus,"September 12 , 2012",A
Mario Golf GB,Nintendo,"October 3 , 2012",A
Zelda no Densetsu : Fushigi no Kinomi - Daichi no Shou,Nintendo,"February 27 , 2013",A
Zelda no Densetsu : Fushigi no Kinomi - Jikuu no Shou,Nintendo,"February 27 , 2013",A
Mario Tennis GB,Nintendo,"June 26 , 2013",A
Shin Megami Tensei : Devil Children - Aka no Shou,Atlus,"November 13 , 2013",A
Shin Megami Tensei : Devil Children - Kuro no Shou,Atlus,"November 13 , 2013",A
Rockman X : Cyber Mission,Capcom,"December 4 , 2013",A
Rockman X2 : Soul Eraser,Capcom,"December 25 , 2013",A
Donkey Kong GB : Dinky Kong & Dixie Kong,Nintendo,"May 7 , 2014",A
Pokémon Card GB,Nintendo,"December 24 , 2014",A
Pokémon Gold,Nintendo,"September 22 , 2017",A
