Name,Year,Round,Team
Les Molnar,1952,18,New York Yanks
Frank Woidzik,1958,4,Los Angeles Rams
Lou Reale,1959,25,New York Giants
Willie Evans,1960,-,Buffalo Bills
Gerry Philbin,1964,3,New York Jets
Ed Ellis,1997,4,New England Patriots
Drew Haddad,2000,7,Buffalo Bills
Trevor Scott,2008,6,Oakland Raiders
Jamey Richard,2008,7,Indianapolis Colts
James Starks,2010,6,Green Bay Packers
Josh Thomas,2011,5,Dallas Cowboys
Steven Means,2013,5,Tampa Bay Buccaneers
Khalil Mack,2014,1,Oakland Raiders
Kristjan Sokoli,2015,6,Seattle Seahawks
Mason Schreck,2017,7,Cincinnati Bengals
