Date from,Position,Name,From,Fee,Contract Length
1 July 2015,LM,Junior Brown,Mansfield Town,Free transfer,1 year
1 July 2015,CM,Darren McKnight,Barnsley,Free transfer,1 year + 1 year option
1 July 2015,CM,Abu Ogogo,Dagenham & Redbridge,Free transfer,2 years
1 July 2015,LB,Mat Sadler,Rotherham United,Free transfer,2 years
1 July 2015,RB,Matt Tootle,Crewe Alexandra,Free transfer,2 years
1 July 2015,RW,Shaun Whalley,Luton Town,Free transfer,2 years
1 July 2015,CM,Martin Woods,Ross County,Free transfer,2 years
21 August 2015,RB,Sam Patterson,Free agent,Free transfer,1 year + 1 year option
14 September 2015,CM,Ian Black,Rangers,Free transfer,2 years + 1 year option
16 October 2015,CB,Zak Whitbread,Free Agent,Free transfer,3 months
24 October 2015,CB,Anthony Gerrard,Free Agent,Free transfer,Non-contract terms
7 January 2016,FW,Andrew Mangan,Tranmere Rovers,Undisclosed,18 months
8 January 2016,CM,Richie Wellens,Doncaster Rovers,Free transfer,18 months
6 February 2016,LW,Elliot Grandin,Free Agent,Free transfer,6 months
