Team,Stadium,Capacity,City/Area
Bradford Bulls ( 2013 season ),Provident Stadium,"27,000","Bradford , West Yorkshire"
Castleford Tigers ( 2013 season ),The Wish Communications Stadium,"11,750","Castleford , West Yorkshire"
Catalans Dragons ( 2013 season ),Stade Gilbert Brutus,"14,000","Perpignan , Pyrénées-Orientales , France"
Huddersfield Giants ( 2013 season ),John Smith 's Stadium,"24,544","Huddersfield , West Yorkshire"
Hull F.C . ( 2013 season ),Kingston Communications Stadium,"25,404","Kingston upon Hull , East Riding of Yorkshire"
Hull Kingston Rovers ( 2013 season ),MS3 Craven Park,"9,471","Kingston upon Hull , East Riding of Yorkshire"
Leeds Rhinos ( 2013 season ),Headingley Carnegie Stadium,"22,250","Leeds , West Yorkshire"
London Broncos ( 2013 season ),Twickenham Stoop,"12,700","Twickenham , London"
Salford City Reds ( 2013 season ),Salford City Stadium,"12,000","Salford , Greater Manchester"
St Helens R.F.C . ( 2013 season ),Langtree Park,"18,000","St. Helens , Merseyside"
Wakefield Trinity Wildcats ( 2013 season ),Rapid Solicitors Stadium,"11,000","Wakefield , West Yorkshire"
Warrington Wolves ( 2013 season ),Halliwell Jones Stadium,"15,500","Warrington , Cheshire"
Widnes Vikings ( 2013 season ),The Select Security Stadium,"13,500","Widnes , Cheshire , England"
Wigan Warriors ( 2013 season ),DW Stadium,"25,138","Wigan , Greater Manchester"
