Crater,Diameter ( km ),Approval Year,Eponym,Ref
Calder,24,2013,"Alexander Calder , American sculptor",WGPSN
Callicrates,68,1976,"Kallicrates , Ancient Greek architect",WGPSN
Camões,70,1976,"Luís de Camões , Portuguese writer",WGPSN
Capote,88,2013,"Truman Capote , American Author",WGPSN
Carducci,108.19,1976,"Giosuè Carducci , Italian poet",WGPSN
Carleton,177,2018,"William Carleton , Irish writer",WGPSN
Calvino,67,2009,"Italo Calvino , Italian writer",WGPSN
Caravaggio,185,2013,"Michelangelo Merisi Caravaggio , Italian painter",WGPSN
Carolan,24.34,2015,"Turlough Carolan , Irish composer and performer",WGPSN
Caruso,31,2013,"Enrico Caruso , Italian singer",WGPSN
Castiglione,80,2015,"Giuseppe Castiglione , Italian painter",WGPSN
Catullus,100.2,2012,"Gaius Valerius Catullus , Roman poet",WGPSN
Cervantes,213.16,1976,"Miguel de Cervantes , Spanish writer",WGPSN
Cézanne,67,1985,"Paul Cézanne , French painter",WGPSN
Chaikovskij,171,1976,"Pyotr Ilyich Tchaikovsky , Russian composer",WGPSN
Chao Meng-Fu,140.73,1976,"Zhao Mengfu , Chinese artist",WGPSN
Chekhov,194,1976,"Anton Chekhov , Russian playwright and writer )",WGPSN
Chesterton,37.23,2012,"Gilbert Keith Chesterton , English author",WGPSN
Chiang K'ui,41,1976,"Jiang Kui , Chinese poet",WGPSN
Chŏng Ch'ŏl,143,1979,"Jeong Cheol , Korean poet",WGPSN
