Team,Home town/suburb,Home ground
Ballyfermot United,Ballyfermot,Cold Cut
Celbridge Town,Celbridge / Kilcock,
Confey,Leixlip,Confey Park
Greenhills/Greenpark,Walkinstown,Greenhills Park
Hartstown Huntstown,Hartstown/ Huntstown,Hartstown Park
Leicester Celtic,Rathfarnham,Loreto Park
Inchicore Athletic,Inchicore,Pearse Park
Kilnamanagh,Kilnamanagh / Tallaght,Ned Kelly Park
Knocklyon United,Knocklyon,Kiltipper Road
Pegasus/St James Athletic,Dún Laoghaire-Rathdown,Belfield Park
Portlaoise,Portlaoise,Rossleighan Park
St James 's Gate,"Crumlin , Dublin",Iveagh Grounds
St. Josephs Boys,Sallynoggin,Pearse Park
Skerries Town,"Skerries , Dublin",Park Lane
