Language,Local name,Geographic distribution,Speakers,Standard dialect,ISO 639-3
Kikai,Shimayumita ( しまゆみた ),Kikaijima,"13,000",N/A,kzg
Amami,Shimayumuta ( 島口 / シマユムタ ),Amami Ōshima and surrounding minor islands,"12,000","Setouchi , Naze","ams , ryn"
Tokunoshima,Shimayumiita ( シマユミィタ ),Tokunoshima,"5,100",Tokunoshima,tkn
Okinoerabu,Shimamuni ( 島ムニ ),Okinoerabujima,"3,200",N/A,okn
Yoron,Yunnu Futuba ( ユンヌフトゥバ ),Yoronjima,950,Yoron,yox
Kunigami,Yanbaru Kutūba ( 山原言葉 / ヤンバルクトゥーバ ),"Northern Okinawa Island ( Yanbaru region ) , and surrounding minor islands","5,000",Largest community is Nago,xug
Okinawan,Uchināguchi ( 沖縄口 / ウチナーグチ ),Central and southern Okinawa Island and surrounding minor islands,"980,000","Traditionally Shuri , modern Naha",ryu
Miyako,Myākufutsu ( 宮古口 / ミャークフツ ) Sumafutsu ( 島口 / スマフツ ),Miyako Islands,"68,000",Hirara,mvi
Yaeyama,Yaimamuni ( 八重山物言 / ヤイマムニ ),Yaeyama Islands ( except Yonaguni ),"47,600",Ishigaki,rys
Yonaguni,Dunan Munui ( 与那国物言 / ドゥナンムヌイ ),Yonaguni Island,400,Yonaguni,yoi
