Church name,Address,Community
Holy Innocents,425 E. 20th St. 33°47′37″N 118°11′15″W / 33.79361°N 118.18750°W / 33.79361 ; -118.18750 ( Holy Innocents ),Long Beach
Our Lady of Mount Carmel ( Cambodian Center ),1851 Cerritos Ave. 33°47′27″N 118°10′39″W / 33.79083°N 118.17750°W / 33.79083 ; -118.17750 ( Our Lady of Mount Carmel ),Long Beach
Our Lady of Refuge,5195 Stearns St. 33°47′46″N 118°07′59″W / 33.79611°N 118.13306°W / 33.79611 ; -118.13306 ( Our Lady of Refuge ),Long Beach
St. Anthony,600 Olive Ave. 33°46′27″N 118°10′55″W / 33.77417°N 118.18194°W / 33.77417 ; -118.18194 ( St. Anthony ),Long Beach
St. Athanasius,5390 Linden Ave. 33°51′14″N 118°11′08″W / 33.85389°N 118.18556°W / 33.85389 ; -118.18556 ( St. Athanasius ),Long Beach ( N. Long Beach )
St. Barnabas,3955 Orange Ave. 33°49′50″N 118°10′35″W / 33.83056°N 118.17639°W / 33.83056 ; -118.17639 ( St. Barnabas ),Long Beach ( Bixby Knolls )
St. Bartholomew,252 Granada Ave. 33°45′52″N 118°08′01″W / 33.76444°N 118.13361°W / 33.76444 ; -118.13361 ( St. Bartholomew ),Long Beach ( Alamitos Heights )
St. Cornelius,5500 E. Wardlow Rd . 33°49′06″N 118°07′26″W / 33.81833°N 118.12389°W / 33.81833 ; -118.12389 ( St. Cornelius ),Long Beach
St. Cyprian,4714 Clark Ave. 33°50′36″N 118°08′00″W / 33.84333°N 118.13333°W / 33.84333 ; -118.13333 ( St. Cyprian ),Long Beach
St. Joseph,6220 E. Willow St. 33°48′09″N 118°06′32″W / 33.80250°N 118.10889°W / 33.80250 ; -118.10889 ( St. Joseph ),Long Beach ( El Dorado Park )
St. Lucy,2344 Cota Ave. 33°47′59″N 118°12′58″W / 33.79972°N 118.21611°W / 33.79972 ; -118.21611 ( St. Lucy ),Long Beach
St. Maria Goretti,3954 Palo Verde Ave. 33°49′46″N 118°06′26″W / 33.82944°N 118.10722°W / 33.82944 ; -118.10722 ( St. Maria Goretti ),Long Beach
St. Matthew,672 Temple Ave. 33°46′30″N 118°09′30″W / 33.77500°N 118.15833°W / 33.77500 ; -118.15833 ( St. Matthew ),Long Beach ( Rose Park )
St. Pancratius,3519 Saint Pancratius Place 33°51′32″N 118°09′00″W / 33.85889°N 118.15000°W / 33.85889 ; -118.15000 ( St. Pancratius ),Lakewood
