Community,Airport name,Type,ICAO,IATA
Adelaide,Adelaide Airport,Public,YPAD,ADL
Aldinga,Aldinga Airfield,Public,YADG,ADG
Alton Downs,Alton Downs Airport,Private,YADS,AWN
Amata,Amata Airport,Private,YAMT,AMT
American River,American River Airpark,Private,,RCN
Andamooka,Andamooka Airport,Public,YAMK,ADO
Balcanoona,Balcanoona Airport,Private,YBLC,LCN
Brukunga,Claremont Airbase,Private,YCLB,
Carrapateena mine,Carrapateena Airport,Private,YCPT,
Ceduna,Ceduna Airport,Public,YCDU,CED
Cleve,Cleve Airport,Public,YCEE,CVC
Clifton Hills,Clifton Hills Landing Strip,Public,YCFH,CFH
Coober Pedy,Coober Pedy Airport,Public,YCBP,CPD
Coorabie,Coorabie Airport,Public,,CRJ
Cordillo Downs,Cordillo Downs Airport,Private,YCOD,ODL
Cowarie,Cowarie Airport,Public,YCWI,CWR
Cowell,Cowell Airport,Public,YCWL,CCW
Dulkaninna,Dulkaninna Airport,Public,YDLK,DLK
Edinburgh,RAAF Base Edinburgh,Military,YPED,
Etadunna,Etadunna Airstrip,Public,YEDA,ETD
