No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Bill Gates,$ 75.0 billion,60,United States,Microsoft
2,Amancio Ortega,$ 67.0 billion,79,Spain,Inditex
3,Warren Buffett,$ 60.8 billion,85,United States,Berkshire Hathaway
4,Carlos Slim,$ 50.0 billion,76,Mexico,"América Móvil , Grupo Carso"
5,Jeff Bezos,$ 45.2 billion,52,United States,Amazon
6,Mark Zuckerberg,$ 44.6 billion,31,United States,Facebook
7,Larry Ellison,$ 43.6 billion,71,United States,Oracle Corporation
8,Michael Bloomberg,$ 40.0 billion,74,United States,Bloomberg L.P
9,Charles Koch,$ 39.6 billion,80,United States,Koch Industries
9,David Koch,$ 39.6 billion,75,United States,Koch Industries
