Player,Position,Nationality,Team,League
Jeff Ablett,LW,Canada,Medicine Hat Tigers,WCHL
Wayne Bell,G,Canada,Omaha Knights,CHL
Dwight Bialowas,D,Canada,Regina Pats,WCHL
Yury Blinov,F,Soviet Union,CSKA Moscow,USSR
Lyle Bradley,C,Canada,Salt Lake Golden Eagles,WHL
Gary Braun,D,Canada,Toledo Hornets,IHL
Ken Brown,G,Canada,Dallas Black Hawks,CHL
Jim Cardiff,D,Canada,San Diego Gulls,WHL
Valeri Kharlamov,LW,Soviet Union,CSKA Moscow,USSR
Dave Dunn,D,Canada,Seattle Totems,WHL
Ed Dyck,G,Canada,Vancouver Canucks,NHL
Grant Erickson,LW,Canada,Cleveland Barons,AHL
Gerry Hart,D,Canada,Fort Worth Wings,CHL
Petr Hejma,F,Czechoslovakia / West Germany,Düsseldorfer EG,Bundesliga
Ted Hodgson,RW,Canada,Salt Lake Golden Eagles,WHL
Doug Horbul,LW,Canada,Calgary Centennials,WCHL
Josef Horesovsky,D,Czechoslovakia,,
Ken Ireland,C,Canada,New Westminster Bruins,WCHL
Darrel Knibbs,C,Canada,Muskegon Mohawks,IHL
