Year,First,Second,Third
1994,Marianne Berglund ( SWE ),Julie Young ( USA ),Dede Barry ( USA )
1995,Clara Hughes ( CAN ),Jeannie Golay ( USA ),Jacqui Nelson ( NZL )
1996,Petra Rossner ( GER ),Jeannie Golay ( USA ),Karen Livingston ( USA )
1997,Edita Pučinskaitė ( LTU ),Rasa Polikevičiūtė ( LTU ),Karen Kurreck ( USA )
1998,Petra Rossner ( GER ),Diana Žiliūtė ( LTU ),Gabriella Pregnalato ( ITA )
1999,Petra Rossner ( GER ),Karen Dunne ( USA ),Hanka Kupfernagel ( GER )
2000,Petra Rossner ( GER ),Diana Žiliūtė ( LTU ),Vera Hohlfeld ( GER )
2001,Petra Rossner ( GER ),Anna Millward ( AUS ),Debby Mansveld ( NED )
2002,Petra Rossner ( GER ),Laura Van Gilder ( USA ),Dede Barry ( USA )
2003,Lyne Bessette ( CAN ),Lynn Gaggioli ( USA ),Judith Arndt ( GER )
2004,Petra Rossner ( GER ),Gina Grain ( CAN ),Laura Van Gilder ( USA )
2005,Ina-Yoko Teutenberg ( GER ),Regina Schleicher ( GER ),Laura Van Gilder ( USA )
2006,Regina Schleicher ( GER ),Ina-Yoko Teutenberg ( GER ),Tina Pic ( USA )
2007,Ina-Yoko Teutenberg ( GER ),Regina Schleicher ( GER ),Gina Grain ( CAN )
2008,Chantal Beltman ( NED ),Brooke Miller ( USA ),Ina-Yoko Teutenberg ( GER )
2009,Ina-Yoko Teutenberg ( GER ),Joanne Kiesanowski ( NZL ),Shelley Olds ( USA )
2010,Ina-Yoko Teutenberg ( GER ),Shelley Olds ( USA ),Theresa Cliff-Ryan ( USA )
2011,Giorgia Bronzini ( ITA ),Shelley Olds ( USA ),Jennifer Purcell ( USA )
2012,Ina-Yoko Teutenberg ( GER ),Rochelle Gilmore ( AUS ),Giorgia Bronzini ( ITA )
