Country,TV network ( s ),Series premiere
United States,TNT,"September 1 , 2008"
United Kingdom,BT Vision,June 2012
Arab World,Fox Series,2010
Turkey,DiziMax,"October 17 , 2008"
South Africa,M-Net,December 2008
Bulgaria,TV7,December 2009
Canada,CTV,"January 9 , 2009"
Spain,TNT,"March 2 , 2009"
Italy,Fox Crime & La5,"March 18 , 2009"
India,Zee Cafe,February 2012
Portugal,AXN & Sony Entertainment Television,"April 8 , 2009"
Norway,TV2,"June 23 , 2009"
Singapore,Sony Entertainment Television,"August 26 , 2009"
Hong Kong,Sony Entertainment Television,"August 26 , 2009"
Greece,Fox Life,"December 5 , 2009"
New Zealand,TV2,"July 27 , 2009"
Uruguay Argentina,AXN,"September 8 , 2009"
Brazil,AXN,"October 5 , 2009"
France,Jimmy,"October 1 , 2009"
Mexico,AXN,"October 5 , 2009"
