Club,Winners,Runners-up,Years won,Years runners-up
Barcelona,5,4,"1992 , 1997 , 2009 , 2011 , 2015","1979 , 1982 , 1989 , 2006"
Milan,5,2,"1989 , 1990 , 1994 , 2003 , 2007","1973 , 1993"
Real Madrid,4,3,"2002 , 2014 , 2016 , 2017","1998 , 2000 , 2018"
Liverpool,4,2,"1977 , 2001 , 2005 , 2019","1978 , 1984"
Atlético Madrid,3,0,"2010 , 2012 , 2018",-
Ajax,2,1,"1973 , 1995",1987
Anderlecht,2,0,"1976 , 1978",-
Valencia,2,0,"1980 , 2004",-
Juventus,2,0,"1984 , 1996",-
Sevilla,1,4,2006,"2007 , 2014 , 2015 , 2016"
Porto,1,3,1987,"2003 , 2004 , 2011"
Manchester United,1,3,1991,"1999 , 2008 , 2017"
Chelsea,1,3,1998,"2012 , 2013 , 2019"
Bayern Munich,1,3,2013,"1975 , 1976 , 2001"
Dynamo Kyiv,1,1,1975,1986
Nottingham Forest,1,1,1979,1980
Aston Villa,1,0,1982,-
Aberdeen,1,0,1983,-
Steaua București,1,0,1986,-
Mechelen,1,0,1988,-
