Team,Winner,Runners-up,Years won,Years runners-up
Abahani Limited,11,7,"1982* , 1985 , 1986 , 1988 , 1997 , 1999 , 2000 , 2010 , 2016 , 2017 , 2018","1981 , 1983 , 1989 , 1994 , 1995 , 2008 , 2009"
Mohammedan Sporting Club,10,4,"1980* , 1981 , 1982* , 1983 , 1987 , 1989 , 1995 , 2002 , 2008 , 2009","1988 , 1991 , 2000 , 2003"
Muktijoddha Sangsad KC,3,5,"1994 , 2001 , 2003","1999 , 2002 , 2005 , 2013 , 2015"
Brothers Union,3,2,"1980* , 1991 , 2005","1985 , 1986"
Sheikh Jamal Dhanmondi Club,3,2,"2011-12 , 2013 , 2015","2010 , 2012"
Sheikh Russel KC,1,0,2012,
Arambagh Krira Sangha,0,3,,"1997 , 2001 , 2016"
Dhaka Wanderers Club,0,1,,1987
Team BJMC,0,1,,2011-12
Abahani Limited ( Chittagong ),0,1,,2017
Bashundhara Kings,1,1,2019-20,2018
Rahmatganj MFS,0,1,,2019-20
