Church,Dates,"City , State"
First United Methodist Church,built NRHP-listed,"Aberdeen , South Dakota"
Sterling Methodist Church,built NRHP-listed,"Bruce , South Dakota"
Esmond Methodist Episcopal Church and Township Hall,built NRHP-listed,"Esmond , South Dakota"
Florence Methodist Church,built NRHP-listed,"Florence , South Dakota"
Bethany United Methodist Church,built NRHP-listed,"Lodgepole , South Dakota"
Oldham Methodist Church,built NRHP-listed,"Oldham , South Dakota"
"Methodist Episcopal Church ( Pierre , South Dakota )",1910 built 1997 NRHP-listed,"Pierre , South Dakota"
Dunlap Methodist Episcopal Church,built NRHP-listed,"Platte , South Dakota"
Quinn Methodist Church,built NRHP-listed,"Quinn , South Dakota"
"Methodist Episcopal Church ( Scotland , South Dakota )",1872 built 1979 NRHP-listed,"Scotland , South Dakota"
First Methodist Episcopal Church,built NRHP-listed,"Vermillion , South Dakota"
Methodist Episcopal Church of Wessington Springs,built NRHP-listed,"Wessington Springs , South Dakota"
Underwood United Methodist Church,built NRHP-listed,"White Lake , South Dakota"
