Team,Location,Arena,Capacity,Average attendance,Manager
AIK,Solna,Råsunda Stadion,"36,608","11,925",Alex Miller
IF Brommapojkarna,Stockholm,Grimsta IP,"4,500","2,262",Kim Bergstrand
Djurgårdens IF,Stockholm,Stockholms Stadion,"14,500","7,178",Lennart Wass Carlos Banda
IF Elfsborg,Borås,Borås Arena,"17,800","8,423",Magnus Haglund
GAIS,Gothenburg,Gamla Ullevi,"18,800","4,666",Alexander Axén
Gefle IF,Gävle,Strömvallen,"7,300","3,500",Per Olsson
Halmstads BK,Halmstad,Örjans Vall,"15,500","4,240",Lars Jacobsson
Helsingborgs IF,Helsingborg,Olympia,"17,200","10,543",Conny Karlsson
BK Häcken,Gothenburg,Rambergsvallen,"7,000","2,576",Peter Gerhardsson
IFK Göteborg,Gothenburg,Gamla Ullevi,"18,800","10,489",Stefan Rehn Jonas Olsson
Kalmar FF,Kalmar,Fredriksskans,"9,000","4,285",Nanne Bergstrand
Malmö FF,Malmö,Swedbank Stadion,"24,000","15,194",Roland Nilsson
Mjällby AIF,Mjällby,Strandvallen,"7,500","4,380",Peter Swärdh
Trelleborgs FF,Trelleborg,Vångavallen,"10,000","2,911",Tom Prahl
Åtvidabergs FF,Åtvidaberg,Kopparvallen,"8,000","4,004",Andreas Thomsson
Örebro SK,Örebro,Behrn Arena,"14,500","7,704",Sixten Boström
