Season,Winner,Runner-up,Third
1991,John Tomac,Gerhard Zadrobilek,David Wiens
1992,Thomas Frischknecht,John Tomac,Ned Overend
1993,Thomas Frischknecht,John Tomac,Peter Hric
1994,Bart Brentjens,Ned Overend,Tinker Juarez
1995,Thomas Frischknecht,Rune Hoydahl,Jan Erik Østergaard
1996,Christophe Dupouey,Thomas Frischknecht,Miguel Martinez
1997,Miguel Martinez,Christophe Dupouey,Cadel Evans
1998,Cadel Evans,Miguel Martinez,Rune Hoydahl
1999,Cadel Evans,Miguel Martinez,Christoph Sauser
2000,Miguel Martinez,Bas van Dooren,Christophe Dupouey
2001,Roland Green,José Antonio Hermida,Miguel Martinez
2002,Filip Meirhaeghe,Christoph Sauser,Thomas Frischknecht
2003,Julien Absalon,Christoph Sauser,Filip Meirhaeghe
2004,Christoph Sauser,Roel Paulissen,Filip Meirhaeghe
2005,Christoph Sauser,José Antonio Hermida,Julien Absalon
2006,Julien Absalon,Christoph Sauser,José Antonio Hermida
2007,Julien Absalon,José Antonio Hermida,Christoph Sauser
2008,Julien Absalon,Christoph Sauser,José Antonio Hermida
2009,Julien Absalon,José Antonio Hermida,Burry Stander
2010,Nino Schurter,Julien Absalon,Jaroslav Kulhavy
