No,Name,Party,Date of Appointment,Date of Retirement
1,Sampatiya Uike,Bharatiya Janata Party,01-Aug-2017,29-Jun-2022
2,M. J. Akbar,Bharatiya Janata Party,30-Jun-2016,29-Jun-2022
3,Satyanarayan Jatiya,Bharatiya Janata Party,10-Apr-2014,09-Apr-2020
4,Prabhat Jha,Bharatiya Janata Party,10-Apr-2014,09-Apr-2020
5,Kailash Soni,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
6,Ajay Pratap Singh,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
7,Thawar Chand Gehlot,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
8,Dharmendra Pradhan,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
9,Vivek Tankha,Indian National Congress,30-Jun-2016,29-Jun-2022
10,Digvijaya Singh,Indian National Congress,10-Apr-2014,09-Apr-2020
11,Rajmani Patel,Indian National Congress,03-Apr-2018,02-Apr-2024
