Rank,Athlete,Nationality,Time
1,Zersenay Tadesse,Eritrea,56:01
2,Robert Kipkorir Kipchumba,Kenya,56:41
3,Wilson Kiprotich Kebenei,Kenya,57:15
4,Wilson Busienei,Uganda,57:21
5,Wilfred Taragon,Kenya,57:22
6,Deriba Merga,Ethiopia,57:27
7,Tadesse Tola,Ethiopia,57:27
8,Mubarak Hassan Shami,Qatar,57:33
9,Dieudonné Disi,Rwanda,57:42
10,Yonas Kifle,Eritrea,57:49
11,Ryan Hall,United States,57:54
12,Dickson Marwa,Tanzania,58:19
13,Martin Toroitich,Uganda,58:26
14,Essa Ismail Rashed,Qatar,58:31
15,Cuthbert Nyasango,Zimbabwe,58:43
16,Jamal Bilal Salem,Qatar,58:55
17,Fred Mogaka,Kenya,59:07
18,Lusapho April,South Africa,59:09
19,James Theuri,France,59:11
20,Demssew Tsega,Ethiopia,59:23
