Name,Country,Park,Model,Opened,Status
Air Jumbo,United States,Six Flags Great Adventure,Flying Elephants,2005,Operating
Arthur & Fanny,Italy,Mirabilandia,Flying Elephants,2006,Operating
Banana Battle,Belgium,Bobbejaanland,Splash Battle,2008,Operating
Battaglia Navale,Italy,Rainbow Magicland,Splash Battle,2013,Operating
Bongo,Greece,Allou ! Fun Park,Flying Elephants,,Operating
Boom Boom,Greece,Allou ! Fun Park,Mini bumper cars,,Operating
Carousel,Greece,Allou ! Fun Park,Carousel,,Operating
Crazy Barn,United States,Story Land,Crazy House,2003,Operating
Dodgem Cars,Australia,Warner Bros. Movie World,Bumper cars,2007,Operating
Doras Big River Adventure,Germany,Movie Park Germany,Flume Ride,2008,Operating
Flying Arturo,Italy,Mirabilandia,Flying Elephants,,Operating
Flying Jumbos,United Kingdom,Chessington World of Adventures,Flying Elephants,1987,Operating
Jumbo,United States,Great Escape,Flying Elephants,,Closed in 2004
Jungle Water Fight,China,"Happy Valley , Shenzhen",Splash Battle ( trackless ),2008,Operating
Legend,Greece,Allou ! Fun Park,Music Express,,Operating
The Magic Carousel,India,Adlabs Imagica,Carousel,"April 18 , 2013",Operating
Mira Express,Italy,Mirabilandia,Monorail,1999,Operating
New York,Greece,Allou ! Fun Park,Bumper cars,,Operating
Raratonga,Italy,Mirabilandia,Splash Battle,2007,Operating
Tuk Tuk Turmoil,United Kingdom,Chessington World of Adventures,Bumper cars,2000,Operating
