Year,Title,Language,Role,Country
2004,Shukriya : Till Death Do Us Apart,Hindi,Yash,India
2007,Mumbai Salsa,Hindi,Karan Kapoor,India
2008,1920,Hindi,Mohan Kant,India
2009,Angshumaner Chhobi,Bengali,Angshuman,India
2009,Janala,Bengali,Angshuman,India
2010,Autograph,Bengali,Shuvobrata,India
2010,Jodi Ekdin,Bengali,,India
2011,Bedini,Bengali,Keshta,India
2011,Uro Chithi,Bengali,,India
2011,Arekti Premer Golpo,Bengali,Basu,India
2012,System,Bengali,Eklavya,India
2012,Aparajita Tumi,Bengali,Yusuf,India
2012,Kahaani,Hindi,Arnav Bagchi/Milan Damji,India
2012,Elar Char Adhyay,Bengali,Atindra,India
2012,Chorabali,Bengali,Sumon,Bangladesh
2012,Dashami,Bengali,,India
2013,Goyenda Gogol,Bengali,Ashok Thakur,India
2013,Mishor Rohoshyo,Bengali,Hani Alkadi,India
2013,Satyagraha,Hindi,Akhilesh,India
2013,Satyanweshi,Bengali,Himangshu,India
