Medal,Name,Sport,Event
Gold,Ervin Mednikov Aleksey Mochechkin,Acrobatic gymnastics,Men 's pairs
Gold,Anna Melnikova Yanna Cholayeva,Acrobatic gymnastics,Women 's pairs
Gold,Tatyana Alekseyeva Yelena Moiseyeva Yelena Kirilova,Acrobatic gymnastics,Women 's pairs
Gold,Anna Katchalova Revaz Gurgenidze,Acrobatic gymnastics,Mixed pairs
Gold,Andrei Burakov,Fin swimming,Men 's 100 m
Gold,Pavel Kabanov,Fin swimming,Men 's 200 m
Gold,Nikolai Reznikov,Fin swimming,Men 's 400 m
Gold,Andrei Burakov Yevgeny Skorzhenko Aleksandr Panyutin Pavel Kabanov,Fin swimming,Men 's 4 × 100 m relay
Gold,Yevgeny Skorzhenko,Fin swimming,Men 's 50 m apnea
Gold,Vasilisa Kravchuk,Fin swimming,Women 's 200 m
Gold,Valentina Artemieva Svetlana Dedyukh Anastasiya Glukhikh Vasilisa Kravchuk,Fin swimming,Men 's 4 × 100 m relay
Gold,Anastasiya Glukhikh,Fin swimming,Women 's 50 m apnea
Gold,Islamutdin Eldaruchev,Karate,Men 's kumite -80 kg
Gold,Aleksandr Guerunov,Karate,Men 's kumite +80 kg
Gold,Aleksandr Guerunov,Karate,Men 's kumite open
Gold,Aleksandr Pechekhonov,Mountaineering,Men 's speed
Gold,Anna Saulevich,Mountaineering,Women 's speed
Gold,Ravil Kazakov,Powerlifting,Men 's -67.5 kg
Gold,Andrei Tarasenko,Powerlifting,Men 's -90 kg
Gold,Nikolai Suslov,Powerlifting,Men 's +90 kg
