Event,Date,City,Venue,Main event
Guerra de Titanes ( 1997 ),"December 13 , 1997","Madero , Mexico",Convention Center,Heavy Metal and Perro Aguayo vs. Picudo and Sangre Chicana - Steel Cage Match
Guerra de Titanes ( 1998 ),"December 13 , 1998","Chihuahua , Chihuahua , Mexico",Aguirre Gym,Octagón and Heavy Metal vs. Pentagón and Kick Boxer - Steel Cage Match
Guerra de Titanes ( 1999 ),"December 10 , 1999","Madero , Mexico",Convention Center,Octagón vs. Jaque Mate - Luchas de Apuestas mask vs. mask match
Guerra de Titanes ( 2000 ),"December 8 , 2000","Madero , Mexico",Convention Center,Héctor Garza and Latin Lover vs . Heavy Metal and Perro Aguayo Jr. - Extreme Steel Cage Match
Guerra de Titanes ( 2001 ),"November 23 , 2001","Mexico City , Mexico",Plaza de Toros,Heavy Metal vs. Perro Aguayo Jr. vs. Héctor Garza vs. Latin Lover - Luchas de Apuestas loser loses his hair elimination match
Guerra de Titanes ( 2002 ),"November 15 , 2002","Veracruz , Mexico",El Toreo,"El Alebrije , Máscara Sagráda , La Parka and Octagón vs. Abismo Negro , Cibernético , the Monsther and Leatherface"
Guerra de Titanes ( 2003 ),"November 30 , 2003","Naucalpan , Mexico",El Toreo,Latin Lover and Michael Shane vs. David Young and Mr. Águila in the Televisa Tag Team Tournament final
Guerra de Titanes ( 2004 ),"December 5 , 2004","Naucalpan , Mexico",El Toreo,Cibernético and La Parka vs. La Legión Extranjera ( Konnan and Rikishi )
Guerra de Titanes ( 2005 ),"December 10 , 2005","Guadalajara , Jalisco , Mexico",Plaza de Toros Nuevo Progreso,"Abismo Negro , Latin Lover and La Parka vs. La Secta Cibernetica ( Cibernético , Dark Cuervo and Dark Escoria )"
Guerra de Titanes ( 2006 ),"December 8 , 2006","Madero , Mexico",Convention Center,Cibernético vs. Muerte Cibernetica with Konnan as special guest referee - extreme coffin match
Guerra de Titanes ( 2007 ),"November 20 , 2007","Madero , Mexico",Convention Center,El Mesias vs. Cibernético vs. El Zorro for the AAA Mega Championship
Guerra de Titanes ( 2008 ),"December 6 , 2008","Orizaba , Mexico",Plaza de Toros La Concordia,Pirata Morgan vs. Electroshock vs. Super Fly vs. Brazo de Plata vs. El Brazo vs. El Elegido - Steel Cage Match Luchas de Apuestas
Guerra de Titanes ( 2009 ),"December 11 , 2009","Ciudad Madero , Tamaulipas",El Centro de Convenciones,Dr. Wagner Jr. vs. El Mesias - Domo De La Muerte cage match for the AAA Mega Championship
Guerra de Titanes ( 2010 ),"December 5 , 2010","Zapopan , Jalisco",Auditorio Benito Juárez,"Los Perros del Mal ( Damián 666 , Halloween and X-Fly ) vs. Los Psycho Circus ( Psycho Clown , Monster Clown and Murder Clown ) - Steel cage weapons match"
Guerra de Titanes ( 2011 ),"December 16 , 2011","Puebla , Puebla",Estadio Hermanos Serdán,Dr. Wagner Jr. vs. L.A. Park for the AAA Latin American Championship
Guerra de Titanes ( 2012 ),"December 2 , 2012","Zapopan , Jalisco",Auditorio Benito Juárez,Chessman vs. Cibernético vs. Dr. Wagner Jr. vs. L.A. Park vs. El Hijo del Perro Aguayo vs. Vampiro - Steel cage Lucha de Apuestas hairs vs. masks match
Guerra de Titanes ( 2013 ),"December 8 , 2013","Tepic , Nayarit",Auditorio de la Gente,"Daga , Jeff Jarrett , La Parka Negra and Psicosis vs. Cibernético , El Hijo del Perro Aguayo , El Mesías and La Parka"
Guerra de Titanes ( 2014 ),"December 7 , 2014","Zapopan , Jalisco",Auditorio Benito Juarez,El Texano Jr. vs. El Patrón Alberto for the AAA Mega Championship
Guerra de Titanes ( 2016 ),"January 22 , 2016","Mexico City , Mexico",Gimnasio Juan de la Barrera,El Mesías and El Texano Jr. vs. Dr. Wagner Jr. and Psycho Clown
Guerra de Titanes ( 2017 ),"January 20 , 2017","Mexico City , Mexico",Gimnasio Juan de la Barrera,Johnny Mundo ( c ) vs. Pentagón Jr. for the AAA Latin American Championship
