City,Subdivision,Country,Date
Seville,Andalusia,Spain,1967
Kurashiki,Okayama Prefecture,Japan,1972
Morelia,Michoacán,Mexico,1973
Freetown,Western Area,Sierra Leone,1974
Tainan,,Taiwan,1978
Xi'an,Shaanxi,People 's Republic of China,1989
Guadalajara,Jalisco,Mexico,1991
Hannover,Lower Saxony,Germany,1993
Port Harcourt,Rivers State,Nigeria,1993
Arusha,Arusha Region,Tanzania,1995
San Nicolás de los Garza,Nuevo León,Mexico,1997
Ramla,,Israel,1998
Metz,Moselle,France,2004
Yan'an,Shaanxi,People 's Republic of China,2017
Kabul,Kabul Province,Afghanistan,2018
