Club,Based,Home stadium,Capacity,First season in Super League,Manager
Becamex Bình Dương,Thủ Dầu Một,Gò Đậu Stadium,"18,250",2004,Cho Yoon-Hwan
TĐCS Đồng Tháp,Cao Lãnh,Cao Lãnh Stadium,"23,000",2000,Trần Công Minh
Hà Nội,Hà Nội,Hàng Đẫy Stadium,"22,500",2003,
Hoàng Anh Gia Lai,Pleiku,Pleiku Stadium,"12,000",2003,Choi Yun-Kyum
Khatoco Khánh Hòa,Nha Trang,August 19th Stadium,"15,000",2000,Hoàng Anh Tuấn
Kienlongbank Kiên Giang,Rạch Giá,Rạch Giá Stadium,"10,000",2012,Lại Hồng Vân
Thanh Hóa,Thanh Hóa,Thanh Hóa Stadium,"14,000",2010,Triệu Quang Hà
Navibank Sài Gòn,Hồ Chí Minh City,Thống Nhất Stadium,"25,000",2010,Mai Đức Chung
SHB Đà Nẵng,Đà Nẵng,Chi Lăng Stadium,"30,000",2001,Lê Huỳnh Đức
Sài Gòn Xuân Thành,Hồ Chí Minh City,Thống Nhất Stadium,"25,000",2012,Trần Tiến Dai ( interim )
Sông Lam Nghệ An,Vinh,Vinh Stadium,"20,000",2000,Nguyễn Hữu Thắng
Hà Nội T & T,Hà Nội,Hàng Đẫy Stadium,"22,500",2008,Phan Thanh Hùng
Vicem Hải Phòng,Hải Phòng,Lạch Tray Stadium,"28,000",2000,Lê Thụy Hải
The Vissai Ninh Bình,Ninh Bình,Ninh Bình Stadium,"22,050",2010,Nguyễn Văn Sỹ
