Title,Publisher,Release Date,CERO
"Aleste ( delisted on May 22 , 2012 )",D4 Enterprise,"May 27 , 2008",A
"Eggy ( delisted on May 22 , 2012 )",D4 Enterprise,"July 29 , 2008",A
Road Fighter,Konami,"November 24 , 2009",A
Space Manbow,Konami,"November 24 , 2009",A
Yumetairiku Adventure,Konami,"November 24 , 2009",A
Metal Gear,Konami,"December 8 , 2009",A
Yie-Gah-kōtei no Gyakushū : Yie Ar Kung-Fu 2,Konami,"December 8 , 2009",A
Gradius 2,Konami,"December 22 , 2009",A
Majou Densetsu,Konami,"December 22 , 2009",A
Parodius : Tako wa Chikyū wo Sukū,Konami,"January 12 , 2010",A
Salamander,Konami,"January 12 , 2010",A
Contra,Konami,"February 2 , 2010",A
Quarth,Konami,"February 2 , 2010",A
Gofer no Yabou : Episode II,Konami,"March 30 , 2010",A
Metal Gear 2 : Solid Snake,Konami,"March 30 , 2010",B
