Rank,Athlete,Nationality,Time
1,Gaston Roelants,Belgium,36:25
2,Dick Taylor,England,36:44
3,Ian McCafferty,Scotland,36:57
4,Mike Tagg,England,36:59
5,Noel Tijou,France,37:14
6,René Jourdan,France,37:24
7,Rex Maddaford,New Zealand,37:28
8,Tim Johnston,England,37:33
9,Jean Wadoux,France,37:37
10,Mariano Haro,Spain,37:39
11,Bill Clark,United States,37:41
12,Mike Turner,England,37:44
13,Euan Robertson,New Zealand,37:50
14,Trevor Wright,England,37:53
15,Willy Polleunis,Belgium,37:56
16,Lucien Rault,France,37:57
17,Bob Richardson,England,38:01
18,Moha Aït Bassou,Morocco,38:04
19,Gaston Heleven,Belgium,38:05
20,Lachie Stewart,Scotland,38:06
