Team,Location,Venue,Capacity,Position in 2012
BATE,Borisov,City Stadium,"5,402",1
Belshina,Bobruisk,Spartak Stadium ( Bobruisk ),"3,700",7
Dinamo Brest,Brest,OSK Brestskiy,"10,060",8
Dinamo Minsk,Minsk,Traktor Stadium,"16,500",3
Dnepr,Mogilev,Spartak Stadium ( Mogilev ),"7,350","First League , 1"
Gomel,Gomel,Central Stadium,"14,307",4
Minsk,Minsk,Torpedo Stadium ( Minsk ),"4,820",6
Naftan,Novopolotsk,Atlant Stadium,"4,500",9
Neman,Grodno,Neman Stadium,"8,500",5
Shakhtyor,Soligorsk,Stroitel Stadium,"4,200",2
Slavia Mozyr,Mozyr,Yunost Stadium,"5,300",10
Torpedo-BelAZ,Zhodino,Torpedo Stadium ( Zhodino ),"3,020",11
