Round,Pick #,Overall,Name,Position,College
1,19,19,Randall McDaniel,Guard,Arizona State
2,27,54,Brad Edwards,Safety,South Carolina
3,16,71,Al Noga,Defensive end,Hawaii
4,26,108,Todd Kalis,Guard,Arizona State
5,15,124,Darrell Fullington,Safety,Miami ( FL )
6,27,164,Derrick White,Defensive back,Oklahoma
7,18,183,Brad Beckman,Tight end,Nebraska-Omaha
8,17,210,Joe Cain,Linebacker,Oregon Tech
9,16,237,Paul McGowan,Linebacker,Florida State
10,15,264,Brian Habib,Guard,Washington
11,19,296,Norman Floyd,Defensive back,South Carolina
