Medal,Name,Sport,Event
Gold,Pamela Jelimo,Athletics,Women 's 800 m
Gold,Brimin Kipruto,Athletics,Men 's 3000 m steeplechase
Gold,Wilfred Bungei,Athletics,Men 's 800 m
Gold,Nancy Lagat,Athletics,Women 's 1500 m
Gold,Samuel Wanjiru,Athletics,Men 's marathon
Gold,Asbel Kiprop,Athletics,Men 's 1500 m
Silver,Janeth Jepkosgei,Athletics,Women 's 800 m
Silver,Catherine Ndereba,Athletics,Women 's marathon
Silver,Eunice Jepkorir,Athletics,Women 's 3000 m steeplechase
Silver,Eliud Kipchoge,Athletics,Men 's 5000 m
Bronze,Richard Mateelong,Athletics,Men 's 3000 m steeplechase
Bronze,Micah Kogo,Athletics,"Men 's 10,000 m"
Bronze,Alfred Kirwa Yego,Athletics,Men 's 800 m
Bronze,Edwin Cheruiyot Soi,Athletics,Men 's 5000 m
Bronze,Sylvia Kibet,Athletics,Women 's 5000 metres
Bronze,Linet Masai,Athletics,Women 's 10000 metres
