Year,Winner,Jockey,Trainer,Owner,Time
2017,Sunny Skies,Robby Albarado,Kenneth G. McPeek,Normandy Farm,1:11.83
2016,Pretty City Dancer,Julien Leparoux,Mark Casse,John C. Oxley,1:11.01
2015,Cosmic Evolution,Calvin H. Borel,Lon Wiggins,Stephen L. Fidel,1:11.89
2014,Promise Me Silver,Robby Albarado,Bret Calhoun,Robert Luttrell,1.11.49
2013,Fiftyshadesofgold,Corey Lanerie,Clarence Scharbauer Jr,Clarence Scharbauer Jr,1.10.63
2012,Blueeyesintherein,Leandro Goncalves,Gary Simms,"Self/King/Morgenson/Travis , et al",1:11.71
2011,Flashy Lassie,Kent Desormeaux,Gary Simms,Barry L. King,1:10.89
2010,Just Louise,Robby Albarado,Dale Romans,Eldon Farm Equine,1:11.85
2009,Decelerator,Julien Leparoux,D. Wayne Lukas,Westrock Stables,1:11.28
2008,Garden District,Robby Albarado,Todd A. Pletcher,Twin Creeks Racing Stable,1:11.07
2007,Rated Fiesty,Shaun Bridgmohan,Steve Asmussen,Heiligbrodt Racing et al,1:09.27
2006,Richwoman,Shaun Bridgmohan,Steve Asmussen,Heiligbrodt Racing,1:10.50
2005,Effectual,Robby Albarado,Steve Asmussen,Gainesway /George Bolton,1:03.95
2004,Classic Elegance,Pat Day,D. Wayne Lukas,Bob & Beverly Lewis,1:04.18
2003,Be Gentle,Cornelio Velasquez,D. Wayne Lukas,Thomas F. Van Meter II,1:03.96
2002,Awesome Humor,Pat Day,W. Elliott Walden,WinStar Farm,1:03.45
2001,Cashier 's Dream,Donnie Meche,Steve Asmussen,Team Valor,1:02.52
2000,Gold Mover,Craig Perret,Mark A. Hennig,Edward P. Evans,1:03.79
1999,Chilukki,Willie Martinez,Bob Baffert,Stonerside Stable,1:03.66
1998,Silverbulletday,Gary Stevens,Bob Baffert,Michael E. Pegram,1:04.70
