Year,Title,Role
1978,Ardiente secreto,Mariana
1979,El enemigo,
1980,No temas al amor,Alejandra
1982,Déjame vivir,Estrella
1986,El camino secreto,Gabriela Guillén
1989,Balada por un amor,Brianda Portugal
1995,Si Dios me quita la vida,María Sánchez Amaro
2000,A Millón,Host
2001,El manantial,Margarita Insunza de Ramírez
2002,Las vías del amor,Leticia López Albavera
2005,Alborada,Doña Juana Arellano Viuda de Manrique
2007,Amor sin maquillaje,Fernanda Duarte
2008,Mujeres asesinas,Cristina Franco
2009,Sortilegio,Victoria Viuda de Lombardo
2010-2011,Triunfo del amor,Bernarda de Iturbide
2013,La Tempestad,Mercedes Artiga
2016,El hotel de los secretos,Ángela Gómez
2017,En tierras salvajes,Doña Amparo
