Program,Subscription network,Free-to-air network,Date
That Mitchell and Webb Look That Mitchell and Webb Look,UKTV,ABC1,18 February 2008
North and South,UKTV,ABC TV,20 March
Afterlife,UKTV,Nine Network,29 March
"Complete Guide to Parenting , The The Complete Guide to Parenting",UKTV,ABC TV,31 March
Star Stories,UKTV,ABC TV,7 April
Bleak House,UKTV,ABC TV,8 May
Hyperdrive,UKTV,ABC TV,26 May
"IT Crowd , The The IT Crowd",UKTV,ABC TV,16 June
"Office , The The Office",TV1,Network Ten,4 September 2008
Jam & Jerusalem,UKTV,ABC TV,8 September 2008
Never Did Me Any Harm,The LifeStyle Channel,,8 September
"Madness Of Modern Families , The The Madness Of Modern Families",The LifeStyle Channel,ABC TV,11 September
How to Look Good Naked,The LifeStyle Channel,Network Ten,21 September
Primeval,UKTV,Nine Network,7 October 2008
It 's Me or the Dog,The LifeStyle Channel,,8 November
Paradise or Bust,The LifeStyle Channel,,17 November
Robin Hood,UKTV / BBC HD,ABC TV,18 November 2008
