Team,Location,Stadium,Capacity
Assumption Thonburi,"Thonburi , Bangkok",Assumption Thonburi School Stadium ( Wongprachanukul Stadium ),"1,000"
Bangkok Christian College,"Pathum Wan , Bangkok",Thephasadin Stadium,"6,738"
Central Lions,"Nakhon Pathom Pathum Thani Nong Chok , Bangkok",RMUTR Stadium Thupatemi Stadium BEC Tero Sasana Nong Chok Stadium,"2,000 25,000 5,000"
Chamchuri United,"Pathumwan , Bangkok",Chulalongkorn University Sports Stadium,"25,000"
Customs United,"Bang Sao Thong , Samut Prakan",Lad Krabang 54 Stadium,?
Globlex,"Bang Kapi , Bangkok",Ramkhamhaeng University Stadium,"2,000"
Kasem Bundit University,"Min Buri , Bangkok",Kasem Bundit University Stadium,"2,000"
Kasetsart,Nakhon Pathom,Kasetsart University Kamphaeng Saen Campus Stadium,"4,000"
Krung Thonburi,Nakhon Pathom,Mahidol University Salaya Campus Stadium,"1,000"
Look Isan-Thai Airways,"Bang Kapi , Bangkok Lak Si , Bangkok",Ramkhamhaeng University Stadium Bunyajinda Stadium,"2,000 3,500"
Nonthaburi,Nonthaburi,Nonthaburi Provincial Stadium ( Wat Bot Don Prom ),"1,300"
North Bangkok University,Pathum Thani,North Bangkok University Rangsit Campus Stadium,"1,000"
Rayong United,"Klaeng , Rayong",Klaeng municipality Stadium,"1,500"
Rangsit,Pathum Thani,Leo Stadium,"12,000"
RBAC BEC Tero Sasana,"Bang Kapi , Bangkok",RBAC University Stadium,"1,000"
Samut Prakan United,Samut Prakan,Samut Prakan United Stadium,?
Samut Sakhon,Samut Sakhon,Samut Sakhon Province Stadium,"3,000"
Thai Honda,"Lat Krabang , Bangkok",King Mongkut 's Institute of Technology Ladkrabang Stadium,"3,500"
