Team,Stadium,Home games,Average attendance,Total attendance,Capacity percentage
Dallas Cowboys,AT & T Stadium,8,"92,539*","740,318",115.7%
Los Angeles Rams,Los Angeles Memorial Coliseum,7,"84,457","591,197",90.2%
New York Giants,MetLife Stadium,8,"78,789","630,315",95.5%
Washington Redskins,FedExField,8,"78,304","626,432",85.4%
Green Bay Packers,Lambeau Field,8,"78,215","625,727",107.3%
New York Jets,MetLife Stadium,8,"78,160","625,280",94.7%
Denver Broncos,Sports Authority Field at Mile High,8,"76,774","614,193",100.9%
Carolina Panthers,Bank of America Stadium,8,"73,792","590,343",100.0%
Kansas City Chiefs,Arrowhead Stadium,8,"73,328","586,624",95.5%
New Orleans Saints,Mercedes-Benz Superdome,8,"73,109","584,876",100.2%
Houston Texans,NRG Stadium,8,"71,868","574,947",101.1%
Baltimore Ravens,M & T Bank Stadium,8,"71,102","568,823",100.1%
San Francisco 49ers,Levi 's Stadium,8,"70,178","561,424",102.4%
Atlanta Falcons,Georgia Dome,8,"69,999","559,998",98.2%
Philadelphia Eagles,Lincoln Financial Field,8,"69,596","556,768",103.0%
Seattle Seahawks,CenturyLink Field,8,"69,073","552,588",103.1%
Buffalo Bills,New Era Field,8,"68,509","548,073",93.7%
New England Patriots,Gillette Stadium,8,"66,829","534,632",97.2%
Minnesota Vikings,U.S. Bank Stadium,8,"66,786","534,289",91.5%
Indianapolis Colts,Lucas Oil Stadium,8,"65,549","524,393",104.0%
