Club,Location,Stadium,Capacity
Alashkert,Yerevan ( Shengavit ),Alashkert Stadium,"6,850"
Ararat,Yerevan ( Kentron ),Vazgen Sargsyan Stadium,"14,403"
Ararat-Armenia,Yerevan ( Avan ),Yerevan Football Academy Stadium,"1,428"
Gandzasar,Yerevan ( Avan ),Yerevan Football Academy Stadium,"1,428"
Lori,Vanadzor,Vanadzor Football Academy,880
Noah,Yerevan ( Shengavit ),Alashkert Stadium,"6,850"
Pyunik,Yerevan ( Kentron ),Vazgen Sargsyan Stadium,"14,403"
Shirak,Gyumri,Gyumri City Stadium,"4,500"
Urartu,Yerevan ( Malatia-Sebastia ),Banants Stadium,"4,860"
Yerevan,Vanadzor,Vanadzor Football Academy,880
