City,Country,IATA,ICAO,Airport
Aberdeen,United Kingdom Scotland,ABZ,EGPD,Aberdeen Airport
Bristol,United Kingdom England,BRS,EGGD,Bristol Airport
Cardiff,United Kingdom Wales,CWL,EGFF,Cardiff Airport
Cork,Ireland,ORK,EICK,Cork Airport
Dublin,Ireland,DUB,EIDW,Dublin Airport
Dundee,United Kingdom Scotland,DND,EGPN,Dundee Airport
Glasgow,United Kingdom Scotland,GLA,EGPF,Glasgow International Airport
Guernsey,Guernsey,GCI,EGJB,Guernsey Airport
Jersey,Jersey,JER,EGJJ,Jersey Airport
Leeds / Bradford,United Kingdom England,LBA,EGNM,Leeds Bradford International Airport
Manchester,United Kingdom England,MAN,EGCC,Manchester Airport
Newquay,United Kingdom England,NQY,EGHQ,Newquay Cornwall Airport
Norwich,United Kingdom England,NWI,EGSH,Norwich International Airport
Plymouth,United Kingdom England,PLH,EGHD,Plymouth City Airport
