Title,Release date,Director ( s ),Writer ( s ),Producer ( s )
Évocateur : The Morton Downey Jr. Movie,"June 7 , 2013",Seth Kramer Daniel A. Miller Jeremy Newberger,Daniel A. Miller,Seth Kramer Daniel A. Miller Jeremy Newberger
Girl Rising,"June 16 , 2013",Richard E. Robbins,Aminatta Forna Edwidge Danticat Maaza Mengiste Zarghuna Kargar Marie Arana Mona Eltahawy Manjushree Thapa Sooni Taraporevala Loung Ung,Martha Adams Richard E. Robbins Tom Yellin
Blackfish,"January 19 , 2013",Gabriela Cowperthwaite,Gabriela Cowperthwaite Eli B. Despres,Manny Oteyza Gabriela Cowperthwaite
Escape Fire : The Fight to Rescue American Healthcare,"March 10 , 2013",Matthew Heineman Susan Froemke,Matthew Heineman Susan Froemke,Matthew Heineman Susan Froemke
The Flag,"September 4 , 2013",Michael Tucker Petra Epperlein,,
Our Nixon,"August 1 , 2013",Penny Lane,N/A,Brian L. Frye Penny Lane
Pandora 's Promise,"November 7 , 2013",Robert Stone,TBA,Jim Swartz Susan Swartz
An Unreal Dream : The Michael Morton Story,"December 5 , 2013",Al Reinert,,
Sole Survivor,"January 9 , 2014",Ky Dickens,Ky Dickens,Susan Aurinko Alexis Jaworski Amy McIntyre
41ON41,"June 15 , 2014",Lisa Lax Nancy Stern Winters,,Lisa Lax Nancy Stern Winters
Documented,"June 29 , 2014",Jose Antonio Vargas Ann Lupo,Jose Antonio Vargas,Jose Antonio Vargas
Lady Valor : The Kristin Beck Story,"September 4 , 2014",Mark Herzog Sandrine Orabona,,Mark Herzog Christopher Cowen
Whitey : United States of America v. James J. Bulger,"September 18 , 2014",Joe Berlinger,,Joe Berlinger Caroline Suh
More than a Game,"October 24 , 2014",Kristopher Belman,Kristopher Belman Brad Hogan,"Kristopher Belman Harvey Mason , Jr. Kevin Mann Matthew Perniciaro"
Ivory Tower,"November 20 , 2014",Andrew Rossi,Andrew Rossi,Andrew Rossi Kate Novack
Dinosaur 13,"December 11 , 2014",Todd Douglas Miller,TBA,Todd Douglas Miller
Life Itself,"January 4 , 2015",Steve James,TBA,Garrett Basch
Glen Campbell : I 'll Be Me,"June 28 , 2015",James Keach,N/A,James Keach Trevor Albert
Fresh Dressed,"September 3 , 2015",Sacha Jenkins,Sacha Jenkins,Nasir Jones Marcus A. Clarke
The Hunting Ground,"November 22 , 2015",Kirby Dick,Kirby Dick,Amy Ziering
