Area,Cultural asset,Type,Location
Yoshino and Ōmine,"Mount Yoshino ( 吉野山 , Yoshino-yama )",nature Mountain,"nara yoshino yoshino Yoshino-chō , Yoshino-gun , Nara-ken"
Yoshino and Ōmine,"Yoshino Mikumari Shrine ( 吉野水分神社 , Yoshino-mikumari-jinja )",shrine Shinto shrine,"nara yoshino yoshino Yoshino-chō , Yoshino-gun , Nara-ken"
Yoshino and Ōmine,"Kimpu Shrine ( 金峯神社 , Kimpu-jinja )",shrine Shinto shrine,"nara yoshino yoshino Yoshino-chō , Yoshino-gun , Nara-ken"
Yoshino and Ōmine,"Kimpusen-ji ( 金峯山寺 , Kimpusen-ji )",temple shugendo buddhist Shugendō / Buddhist temple,"nara yoshino yoshino Yoshino-chō , Yoshino-gun , Nara-ken"
Yoshino and Ōmine,"Yoshimizu Shrine ( 吉水神社 , Yoshimizu-jinja )",shrine Shinto shrine,"nara yoshino yoshino Yoshino-chō , Yoshino-gun , Nara-ken"
Yoshino and Ōmine,"Ōminesan-ji ( 大峯山寺 , Ōminesan-ji )",temple shugendo Shugendō temple,"nara yoshino tenkawa Tenkawa-mura , Yoshino-gun , Nara-ken"
Kumano Sanzan,"Kumano Hongū Taisha ( 熊野本宮大社 , Kumano Hongū Taisha )",shrine Shinto shrine,"wakayama tanabe Tanabe-shi , Wakayama-ken"
Kumano Sanzan,"Kumano Hayatama Taisha ( 熊野速玉大社 , Kumano Hayatama Taisha )",shrine Shinto shrine,"wakayama mie Shingū-shi , Wakayama-ken ; Kiho-chō , Minamimuro-gun , Mie-ken"
Kumano Sanzan,"Kumano Nachi Taisha ( 熊野那智大社 , Kumano Nachi Taisha )",shrine Shinto shrine,"wakayama higashimuro nachikatsuura Nachikatsuura-chō , Higashimuro-gun , Wakayama-ken"
Kumano Sanzan,"Seiganto-ji ( 青岸渡寺 , Seiganto-ji )",temple tendai Tendai Buddhist temple,"wakayama higashimuro nachikatsuura Nachikatsuura-chō , Higashimuro-gun , Wakayama-ken"
Kumano Sanzan,"Nachi Falls ( 那智滝 , Nachi no Taki )",nature Waterfall,"wakayama higashimuro nachikatsuura Nachikatsuura-chō , Higashimuro-gun , Wakayama-ken"
Kumano Sanzan,"Nachi Primeval Forest ( 那智原始林 , Nachi Genjirin )",nature Forest,"wakayama higashimuro nachikatsuura Nachikatsuura-chō , Higashimuro-gun , Wakayama-ken"
Kumano Sanzan,"Fudarakusan-ji ( 補陀洛山寺 , Fudarakusan-ji )",temple tendai Tendai Buddhist temple,"wakayama higashimuro nachikatsuura Nachikatsuura-chō , Higashimuro-gun , Wakayama-ken"
Kōyasan,"Niutsuhime Shrine ( 丹生都比売神社 , Niutsuhime-jinja )",shrine Shinto shrine,"wakayama ito katsuragi Katsuragi-chō , Ito-gun , Wakayama-ken"
Kōyasan,"Kongōbu-ji ( 金剛峯寺 , Kongōbu-ji )",temple shingon Shingon Buddhist temple,"wakayama ito koya Kōya-chō , Ito-gun , Wakayama-ken"
Kōyasan,"Jison-in ( 慈尊院 , Jison-in )",temple shingon Shingon Buddhist temple,"wakayama ito kudoyama Kudoyama-chō , Ito-gun , Wakayama-ken"
Kōyasan,"Niukanshōfu Shrine ( 丹生官省符神社 , Niukanshōfu-jinja )",shrine Shinto shrine,"wakayama ito kudoyama Kudoyama-chō , Ito-gun , Wakayama-ken"
Pilgrimage Routes,"Ōmine Okugakemichi ( 大峯奥駈道 , Ōmine Okugakemichi )",trail Trail,wakayama nara Villages between Nara and Wakayama prefectures
Pilgrimage Routes,"Kumano Sankeimichi ( 熊野参詣道 ) Nakahechi ( 中辺路 ) , including Kumano River ( 熊野川 ) Kohechi ( 小辺路 ) Ōhechi ( 大辺路 ) Iseji ( 伊勢路 )",trail Trail,wakayama mie Across Mie and Wakayama prefectures
Pilgrimage Routes,"Kōyasan chōishi-michi ( 高野山町石道 , Kōyasan Chōishimichi )",trail Trail,"wakayama ito Villages in Ito-gun , Wakayama-ken"
