Ethnic group,Population ( millions ),Percentage,Main regions
Javanese,94.843,40.06,"Bengkulu , East Java , East Kalimantan , Central Java , Jambi , Lampung , North Sumatra , Riau , South Sumatra , Yogyakarta"
Sundanese,36.705,15.51,"Banten , West Java"
Malay,8.754,3.7,"Bangka-Belitung Islands , Jambi , Riau , Riau Islands , South Sumatra , West Kalimantan"
Batak,8.467,3.58,"North Sumatra , Riau , Riau Islands , Jakarta"
Madurese,7.179,3.03,East Java
Betawi,6.808,2.88,Jakarta
Minangkabau,6.463,2.73,"Riau , West Sumatra"
Buginese,6.415,2.71,"Central Sulawesi , East Kalimantan , North Kalimantan , South Sulawesi , Southeast Sulawesi , West Sulawesi"
Bantenese,4.642,1.96,Banten
Banjarese,4.127,1.74,"South Kalimantan , Central Kalimantan , East Kalimantan"
Balinese,3.925,1.66,Bali
Acehnese,3.404,1.44,Aceh
Dayak,3.220,1.36,"Central Kalimantan , East Kalimantan , North Kalimantan , West Kalimantan"
Sasak,3.175,1.34,West Nusa Tenggara
Chinese Indonesian,2.833,1.2,"Bangka-Belitung Islands , North Sumatra , Jakarta , Riau , Riau Islands , West Kalimantan , North Coast of Central Java and East Java"
Makassarese,2.673,1.13,South Sulawesi
Cirebonese,1.878,0.79,West Java
Lampung,1.376,0.58,Lampung
Palembang,1.252,0.53,South Sumatra
Gorontalo,1.252,0.53,Gorontalo
