Year,Film,Role
1988,Qatil,Kiran Mathur
1989,Hathyar,Jenny
1989,Tridev,Natasha Tejani
1990,Jai Shiv Shankar,
1990,Gunahon Ka Devta,Bhinde 's sister
1990,Hatim Tai,"Gulnar Pari , Husna Pari"
1990,Jurm,Geeta Sarabhai
1990,Paap Ki Kamaee,
1991,Yodha,Vidya Agnihotri
1991,Police Matthu Dada,
1991,Dhun,
1991,Numbri Aadmi,Sangeeta Rana
1991,Inspector Dhanush,Sangeeta
1991,Vishnu-Devaa,Sangeeta Samppat
1991,Khoon Ka Karz,Sagarika D. Mehta
1991,Gunehgar Kaun,Nisha
1991,Izzat,Surya
1991,Shiv Ram,
1991,Lakshmanrekha,Beenu
1993,Yugandhar,
