Year,Round,Pick,Name,From
1961,1,1,Walt Bellamy,Indiana University
1961,2,18,Jack Turner,University of Louisville
1961,2,19,Jerry Graves,Mississippi State University
1961,2,20,York Larese,University of North Carolina
1961,2,21,Don Kojis,Marquette University
1961,2,22,Douglas Moe,University of North Carolina
1961,2,23,Jeff Cohen,College of William & Mary
1961,3,32,Bill Bridges,University of Kansas
1961,4,41,Roger Kaiser,Georgia Institute of Technology
1961,5,50,Howie Carl,DePaul University
1961,6,59,Dave Voss,University of Tulsa
1961,7,68,Ron Heller,Wichita State University
1961,8,76,John Wessels,University of Illinois at Urbana-Champaign
1961,9,83,Steve Strange,Southern Methodist University
1961,10,91,Larry Comley,Kansas State University
