Title,Release,Original platform,Ports,Notes
Mortal Kombat,1992,Arcade,Various,The original Mortal Kombat game
Mortal Kombat II,1993,Arcade,Various,Second main game . Sequel to Mortal Kombat
Mortal Kombat 3,1995,Arcade,Various,Third main game . Sequel to Mortal Kombat II
Ultimate Mortal Kombat 3,1995,Arcade,Various,An update to Mortal Kombat 3
Mortal Kombat Trilogy,1996,"PS1 , N64 , Saturn","Windows , Game.com , R-Zone","A game based on the MK3 engine , incorporating all the characters in the series up to that point"
Mortal Kombat Mythologies : Sub-Zero,1997,"PS1 , N64",N/A,First of three spin-off games . An action-adventure game starring Sub-Zero . Prequel to the first Mortal Kombat
Mortal Kombat 4,1997,Arcade,"PS1 , N64 , Windows",Fourth main game . Sequel to Mortal Kombat 3 . Last game to appear in arcades
Mortal Kombat Gold,1999,Dreamcast,N/A,"An update to Mortal Kombat 4 , made for consoles only"
Mortal Kombat : Special Forces,2000,PS1,N/A,Second of three spin-off games . An action-adventure spin-off starring Jax . Prequel to the first Mortal Kombat
Mortal Kombat Advance,2001,GBA,N/A,A port of Ultimate Mortal Kombat 3
Mortal Kombat : Deadly Alliance,2002,"PS2 , GCN , Xbox",GBA ( 2003 ),Fifth main game . Sequel to Mortal Kombat 4
Mortal Kombat : Tournament Edition,2003,GBA,N/A,"Special version of Deadly Alliance , exclusive to the GBA"
Mortal Kombat : Deception,2004,"PS2 , GCN , Xbox",N/A,Sixth main game . Sequel to Deadly Alliance
Mortal Kombat : Shaolin Monks,2005,"PS2 , Xbox",N/A,"Third of three spin-off games . An action-adventure spin-off starring Liu Kang and Kung Lao , set in an alternate timeline between MK and MKII"
Mortal Kombat : Armageddon,2006,"PS2 , Xbox",Wii ( 2007 ),"Seventh main game . Sequel to Deception , and the final title of the original main series"
Mortal Kombat : Unchained,2006,PSP,N/A,The PSP version of Deception
Ultimate Mortal Kombat,2007,NDS,N/A,Another port of UMK3
Mortal Kombat vs. DC Universe,2008,"PS3 , X360",N/A,Eighth main game . A non-canonical crossover title set in an alternate timeline between MKII and MK3
Mortal Kombat ( 2011 ),2011,"PS3 , Xbox 360",Vita ( 2012 ),"Ninth main game . Reboot story combining plots from the original Mortal Kombat , Mortal Kombat II , and Mortal Kombat 3"
Mortal Kombat Arcade Kollection,2011,"PS3 , X360",Windows ( 2012 ),"Compilation of MK , MKII and UMK3 ports"
