Pos,No,Driver,Constructor,Time,Gap
1,1,Michael Schumacher,Ferrari,1:13.306,
2,3,Juan Pablo Montoya,Williams - BMW,1:13.668,+0.362
3,9,Jenson Button,BAR - Honda,1:13.674,+0.368
4,6,Kimi Räikkönen,McLaren - Mercedes,1:13.690,+0.384
5,5,David Coulthard,McLaren - Mercedes,1:13.821,+0.515
6,8,Fernando Alonso,Renault,1:13.874,+0.568
7,7,Jarno Trulli,Renault,1:14.134,+0.828
8,2,Rubens Barrichello,Ferrari,1:14.278,+0.972
9,10,Takuma Sato,BAR - Honda,1:14.287,+0.981
10,17,Olivier Panis,Toyota,1:14.368,+1.062
11,4,Antônio Pizzonia,Williams - BMW,1:14.556,+1.250
12,14,Mark Webber,Jaguar - Cosworth,1:14.802,+1.496
13,15,Christian Klien,Jaguar - Cosworth,1:15.011,+1.705
14,11,Giancarlo Fisichella,Sauber - Petronas,1:15.395,+2.089
15,16,Cristiano da Matta,Toyota,1:15.454,+2.148
16,12,Felipe Massa,Sauber - Petronas,1:15.616,+2.310
17,19,Giorgio Pantano,Jordan - Ford,1:16.192,+2.886
18,18,Nick Heidfeld,Jordan - Ford,1:16.310,+3.004
19,20,Gianmaria Bruni,Minardi - Cosworth,1:18.055,+4.749
20,21,Zsolt Baumgartner,Minardi - Cosworth,1:18.400,+5.094
