Year,Horse,Trainer,Owner
1970,Office Queen ( DRF ),Budd Lepman,Stephen A. Calder
1970,Fanfreluche ( TRA ),Yonnie Starr,J. Louis Lévesque
1969,Gallant Bloom,William J. Hirsch,Robert J. Kelberg Jr
1968,Dark Mirage,Everett W. King,Lloyd I. Miller
1967,Furl Sail ( DRF ),John L. Winans,Edwin K. Thomas
1967,Gamely ( TRA ),James W. Maloney,William Haggin Perry
1966,Lady Pitt,Stephen A. DiMauro,Thomas A. Eazor
1965,What a Treat,Sylvester Veitch,George D. Widener Jr
1964,Tosmah,Joseph W. Mergler,Briardale Farm
1963,Lamb Chop,James W. Maloney,William Haggin Perry
1962,Cicada,Casey Hayes,Meadow Stable
1961,Bowl of Flowers,J. Elliott Burch,Brookmeade Stable
1960,Berlo,Richard E. Handlen,William du Pont Jr
1959,Royal Native ( DRF ),Kenny Noe Sr,Perne L. Grissom
1959,Silver Spoon ( TRA ),Robert L. Wheeler,Cornelius Vanderbilt Whitney
1958,Idun,Sherrill W. Ward,Mrs. Charles U . Bay
1957,Bayou,Moody Jolley,Claiborne Farm
1956,Doubledogdare,Moody Jolley,Claiborne Farm
1955,Misty Morn,Sunny Jim Fitzsimmons,Wheatley Stable
1954,Parlo,Richard E. Handlen,William du Pont Jr
