Rank,Organization,Headquarters Country,Infrastructure Value ( millions USD )
1,Federal government of the United States,United States,"282,700"
2,Électricité de France - EDF,France,"186,466"
3,GAZPROM,Russia,"161,813"
4,Petrochina Company Limited,China,"155,973"
5,ExxonMobil,United States,"139,116"
6,Petrobras,Brazil,"132,286"
7,Royal Dutch Shell,Netherlands,"129,149"
8,United States Department of the Army,United States,"122,145"
9,Enel,Italy,"113,951"
10,Nippon Telegraph and Telephone,Japan,"107,856"
11,Tokyo Electric Power Company,Japan,"106,455"
12,BP,United Kingdom,"103,686"
13,Walmart,United States,"102,307"
14,State of California,United States,"102,201"
15,Ferrovie dello Stato,Italy,"101,660"
16,AT & T,United States,"100,093"
17,GDF Suez,France,"99,457"
18,Chevron Corporation,United States,"96,468"
19,China Petrochemical Corporation,China,"96,105"
20,Verizon Communications,United States,"91,466"
