Name,Creator,First public version ( date ),"Latest stable version ( date , number )",Cost,Software license
Altap Salamander,Altap,"August 15 , 1997 ( 1997-08-15 )","July 1 , 2019 ; 7 months ago ( 2019-07-01 ) ( 4.0 )",Free,Proprietary
Commander One,Eltima Software,"August 4 , 2015 ( 2015-08-04 )",2019 ; 1 year ago ( 2019 ) ( 2.3 ),US $ 29.95,Proprietary
CRAX Commander,Soft4U2,"September 1 , 2013 ( 2013-09-01 )","June 5 , 2018 ; 20 months ago ( 2018-06-05 ) ( 1.11.1 )",US $ 19.99,Proprietary
Directory Opus,"Jonathan Potter , GPSoftware",Amiga : v1 ( 1990-01-03 ) Windows : v6 ( 2001-06-18 ),"December 19 , 2018 ; 13 months ago ( 2018-12-19 ) ( 12.11 )",A $ 49 lite / A $ 89 pro,Proprietary
Dired,"integral part of Emacs , part of the GNU project",1974 ?,"July 30 , 2009 ; 10 years ago ( 2009-07-30 ) ( 7.17 )",Free,GPL
Dolphin,KDE,"June 7 , 2006 ( 2006-06-07 ) ( 0.5 )",19.12.1 ( 9 January 2020 ; 27 days ago ( 2020-01-09 ) ) [ ± ],Free,GPL
DOS Navigator,Ritlabs,1991 ( 0.90 ),1999 ( 1.51 ),Free,BSD original
DOS Shell,Microsoft / IBM,1988,1998,Part of MS-DOS / PC DOS ( OS ),Proprietary
Double Commander,Alexander Koblov ( alexx2000 ) and others,2007,"July 7 , 2019 ; 6 months ago ( 2019-07-07 ) ( 0.9.5 )",Free,GPL
emelFM2,tooar,"September 6 , 2003 ( 2003-09-06 )","February 18 , 2014 ; 5 years ago ( 2014-02-18 ) ( 0.9.1 )",Free,GPL
Explorer++,David Ercig,"January 8 , 2008 ( 2008-01-08 )","February 3 , 2013 ; 7 years ago ( 2013-02-03 ) ( 1.3.5 )",Free,GPL
Far Manager,Eugene Roshal ( original ) ; Far Group,1996,3.0 build 5000 ( 7 August 2017 ; 2 years ago ( 2017-08-07 ) ) [ ± ],Free,BSD revised
File Commander,Brian Havard,1993,"March 3 , 2011 ; 8 years ago ( 2011-03-03 ) ( 2.40 )",A $ 35.00,Proprietary
File Explorer,Microsoft,"August 24 , 1995 ( 1995-08-24 )","July 29 , 2015 ; 4 years ago ( 2015-07-29 )",Part of Windows ( OS ),Proprietary
File Manager,Microsoft ( Ian Ellison-Taylor ),1990,"January 7 , 2019 ; 12 months ago ( 2019-01-07 ) ( 10.0.1901.1 )",Part of Windows ( OS ),MIT
Files ( Apple ),Apple Inc,"September 19 , 2017 ; 2 years ago ( 2017-09-19 )",,Part of iOS ( OS ),Proprietary
Files by Google,Google LLC,5 December 2017 ; 2 years ago ( 2017-12-05 ),,Free,Proprietary
GeoManager,"Berkeley Softworks , Breadbox Ensemble",1990,2009,Part of PC/GEOS ( OS ),Proprietary
Finder,Apple Inc,January 1984 ( 1984-01 ),"August 13 , 2015 ; 4 years ago ( 2015-08-13 ) ( 10.10.5 )",Part of macOS ( OS ),Proprietary
fman,Michael Herrmann,"July 18 , 2016 ( 2016-07-18 )","April 22 , 2019 ; 9 months ago ( 2019-04-22 ) ( 1.5.8 )",US $ 18,Proprietary
