Country,Secretary,Took office,Left office
France,Jacques Camille Paris,11 August 1949,17 July 1953
France,Léon Marchal,21 September 1953,24 September 1956
Italy,Lodovico Benvenuti,19 September 1957,15 March 1964
United Kingdom,Peter Smithers,16 March 1964,15 September 1969
Austria,Lujo Tončić-Sorinj,16 September 1969,16 September 1974
West Germany,Georg Kahn-Ackermann,17 September 1974,17 September 1979
Austria,Franz Karasek,1 October 1979,1 October 1984
Spain,Marcelino Oreja Aguirre,1 October 1984,1 June 1989
France,Catherine Lalumière,1 June 1989,31 May 1994
Sweden,Daniel Tarschys,1 June 1994,1 September 1999
Austria,Walter Schwimmer,1 September 1999,31 August 2004
United Kingdom,Terry Davis,1 September 2004,31 August 2009
Norway,Thorbjørn Jagland,1 October 2009,18 September 2019
Croatia,Marija Pejčinović Burić,18 September 2019,Present
