Member,Electoral district,Party
Howard Richmond McDiarmid,Alberni,Social Credit
Frank Arthur Calder,Atlin,NDP
Francis Xavier Richter,Boundary-Similkameen,Social Credit
Gordon Dowding,Burnaby-Edmonds,NDP
Eileen Dailly,Burnaby North,NDP
Fred Vulliamy,Burnaby-Willingdon,NDP
William Collins Speare,Cariboo,Social Credit
William Kenneth Kiernan,Chilliwack,Social Credit
James Roland Chabot,Columbia River,Social Credit
Daniel Robert John Campbell,Comox,Social Credit
David Barrett,Coquitlam,NDP
Robert Martin Strachan,Cowichan-Malahat,NDP
Robert Wenman,Delta,Social Credit
George Mussallem,Dewdney,Social Credit
Herbert Joseph Bruch,Esquimalt,Social Credit
Ray Gillis Williston,Fort George,Social Credit
Philip Arthur Gaglardi,Kamloops,Social Credit
Leo Thomas Nimsick,Kootenay,NDP
Hunter Bertram Vogel,Langley,Social Credit
Isabel Dawson,Mackenzie,Social Credit
