Date,Co-Hosts,Guests/Segments
September 6,Regis Philbin & Kelly Ripa,"Reese Witherspoon , Andy Richter , Jill Scott"
September 7,Regis Philbin & Kelly Ripa,"Bette Midler , John Edward"
September 8,Regis Philbin & Kelly Ripa,"Chris Rock , Duane Chapman"
September 9,Regis Philbin & Kelly Ripa,"Donald Trump , Martin Short , Mase"
September 10,Regis Philbin & Kelly Ripa,"Ray Romano , Rupert Boneham"
September 13,Regis Philbin & Kelly Ripa,"Heather Locklear , Tony Danza , Denise Richards"
September 14,Regis Philbin & Kelly Ripa,"Bernie Mac , Misty May , Kerri Walsh"
September 15,Regis Philbin & Kelly Ripa,"Debra Messing , Wayne Brady"
September 16,Regis Philbin & Kelly Ripa,"Alec Baldwin , Jeff Probst"
September 17,Regis Philbin & Kelly Ripa,"Dennis Franz , Nick Lachey"
September 20,Regis Philbin & Kelly Ripa,"Melina Kanakaredes , Lil Romeo"
September 21,Regis Philbin & Kelly Ripa,"John Kerry , Tiger Woods , Gary Sinise"
September 22,Regis Philbin & Kelly Ripa,"Faith Ford , Ashlee Simpson"
September 23,Regis Philbin & Kelly Ripa,"Katie Holmes , Elvis Costello"
September 24,Regis Philbin & Kelly Ripa,LIVE 's 2004 Relly Awards
September 27,Regis Philbin & Kelly Ripa,"James Belushi , Dean Cain"
September 28,Regis Philbin & Kelly Ripa,"Christopher Walken , Eve , Mia Hamm"
September 29,Regis Philbin & Kelly Ripa,"John Goodman , Yao Ming , Ciara"
September 30,Regis Philbin & Kelly Ripa,"Joaquin Phoenix , Sara Rue , Shaquille O'Neal"
