Player,Position,Seasons,Notes
Bob Addy,2B,1874,"Addy played in 50 games for one season in Hartford , and batted .239 in 213 at bats"
Art Allison,RF,1875,Allison finished the season with Hartford after having played with Washington Nationals . He was the brother of teammate Doug Allison
Doug Allison,C,1875 - 1877,Allison was the team 's catcher for their final three seasons . He was the brother of teammate Art Allison
Tom Barlow,SS,1874,"Barlow , who had previously been the catcher for the Brooklyn Atlantics , was the team 's shortstop for one season"
Billy Barnie,RF,1874,Barnie 's only season with the Dark Blues was the only season in which he played more than 19 games
John Bass,LF,1877,"Bass ' last season at the major league level , he played in one game for the Brooklyn Hartfords"
Tommy Bond,SP,1875 - 1876,Bond won 19 and 31 games respectively in his two-season tenure with the Dark Blues
Bill Boyd,3B,1874,Boyd played 26 games at third base for the Dark Blues
Steve Brady,3B / OF,1874,"Brady split his playing time between third base and the outfield , batting .314 in 27 games"
Josh Bunce,LF,1877,Bunce 's entire major league career consisted of a single game
Jack Burdock,2B,1875 - 1877,Burdock was the franchise 's second baseman for their final three seasons . He led all NA second baseman with a .895 fielding percentage in 1875
Tom Carey,SS,1875 - 1877,"Carey was a steady veteran player during his three seasons with the Dark Blues , leading all shortstops in games played each season ; his total of 86 led the NA in 1875"
John Cassidy,RF,1876 - 1877,"Cassidy played in 12 games for the 1876 team , but followed it with a full season in 1877 and batted .378"
Candy Cummings,SP,1875 - 1876,"Cummings is credited as the inventor of the curveball . He played two seasons in Hartford , and won 35 games for the 1875 team"
Jack Farrell,CF,1874,"In three games , Farrell batted .385 in 13 at bats"
Bob Ferguson,3B,1875 - 1877,Ferguson played third base and was player-manager for the franchise 's final three seasons
Cherokee Fisher,SP / RF,1874,"In his only season with Hartford , Fisher had a win-loss record of 13-23"
Bill Harbridge,C / OF / IF,1875 - 1877,"Harbridge was a utility player for his first three seasons in majors , which were the last three for the Hartford franchise"
Scott Hastings,C / OF,1874,"Hastings was a utility player during his only season in Hartford , and had a .324 batting average"
Dick Higham,RF / C,1876,"In his only season in Hartford , Higham had a .327 batting average , and led the NL with 21 doubles"
