Rank,Country or territory,Population ( most recent estimates ),Languages,Capital
1,United Kingdom,"66,040,229",English,London
2,France ( metropolitan ),"65,058,000",French,Paris
3,Spain,"46,700,000",Spanish,Madrid
4,Netherlands,"17,249,632","Dutch , Frisian",Amsterdam
5,Belgium,"11,420,163","Dutch , French",Brussels
6,Portugal,"10,291,027",Portuguese,Lisbon
7,Ireland,"4,857,000","Irish , English",Dublin
8,Luxembourg,"602,005","French , Luxembourgish and German",Luxembourg City
9,Andorra,"78,264",Catalan,Andorra la Vella
10,Monaco,"38,300",French,Monaco ( city-state )
