Code,Official team name,License holder,Country,Groupset,Bicycles
ALM,Ag2r-La Mondiale ( 2012 season ),EUSRL France Cyclisme,France,SRAM,Focus
AST,Astana ( 2012 season ),Olympus Sarl,Kazakhstan,Campagnolo,Specialized
BMC,BMC Racing Team ( 2012 season ),Continuum Sports LLC,United States,Shimano,BMC
EUS,Euskaltel-Euskadi ( 2012 season ),Fundación Ciclista Euskadi,Spain,Shimano,Orbea
FDJ,FDJ-BigMat ( 2012 season ),Société de Gestion de L'Echappée,France,Shimano,Lapierre
GRM,Garmin-Sharp ( 2012 season ),"Slipstream Sports , LLC",United States,Shimano,Cervélo
OGE,Orica-GreenEDGE ( 2012 season ),Lachlan Smith,Australia,Shimano,Scott
LAM,Lampre-ISD ( 2012 season ),Total Cycling Limited,Italy,Shimano,Merida
CAN,Liquigas-Cannondale ( 2012 season ),Brixia Sports,Italy,SRAM,Cannondale
LTB,Lotto-Belisol ( 2012 season ),Belgian Cycling Company sa,Belgium,Campagnolo,Ridley
MOV,Movistar Team ( 2012 season ),Abarca Sports S.L,Spain,Campagnolo,Pinarello
OPQ,Omega Pharma-Quick-Step ( 2012 season ),Esperanza bvba,Belgium,SRAM,Specialized
RAB,Rabobank ( 2012 season ),Rabo Wielerploegen,Netherlands,Shimano,Giant
KAT,Team Katusha ( 2012 season ),Katusha Management SA,Russia,Shimano,Canyon
RNT,RadioShack-Nissan ( 2012 season ),Leopard SA,Luxembourg,Shimano,Trek
SAX,Saxo Bank-Tinkoff Bank ( 2012 season ),Riis Cycling A/S,Denmark,SRAM,Specialized
SKY,Team Sky ( 2012 season ),Tour Racing Limited,United Kingdom,Shimano,Pinarello
VCD,Vacansoleil-DCM ( 2012 season ),STL-Pro Cycling B.V,Netherlands,Shimano,Bianchi
