Thai name,Thai script,English name,Description and use
Dipli,ดีปลี,Long pepper,The dried spice is used in many northern Thai dishes for its heat and flavour . It is most famously used in northern Thai lap
Dok ngio,ดอกเงี้ยว,Bombax ceiba,"The dried flowers of the Bombax ceiba tree , they are used in northern Thai dishes such as nam ngiao"
Kanphlu,กานพลู,Cloves,"Used in certain meat dishes , most notably in Matsaman curry"
Luk chanthet,ลูกจันทน์เทศ,Nutmeg nut,"Used in certain Indian style curries , most notably in Matsaman curry"
Makhwaen,มะแขว่น,Zanthoxylum limonella,"A type of prickly ash , and related to the Sichuan pepper , these seeds are used most often in northern Thai cuisine for their spicy , hot taste"
Nga,งา,Sesame seed,The oil from the sesame seed is not really used in Thai cuisine ( unlike in Chinese cuisine ) . The seeds ( black and white sesame ) are mainly used whole in certain deep fried desserts such as thong muan ( Thai : ทองม้วน )
Opchoei,อบเชย,Cassia cinnamon,"Used in certain meat dishes , most notably in Matsaman curry"
Phong kari,ผงกะหรี่,Curry powder,"Thai curries are nearly always made with fresh pastes . Curry powder is only used when making certain Indian influenced curries , as well as in stir-fried dishes ( often in combination with scrambled eggs ) called phat pong kari"
Phong phalo,ผงพะโล้,Five-spice powder,"The Chinese five-spice powder is used mainly in Thai-Chinese dishes such as mu phalo ( pork stewed in soy sauce , Thai : หมูพะโล้ )"
Phrik haeng,พริกแห้ง,Dried chillies,"Dried chillies can be used in many ways in Thai cuisine : either ground into chilli flakes and used as a condiment , as an ingredient for Thai curry pastes , in chilli pastes and dips , or deep-fried and served whole with certain dishes"
Phrik lap,พริกลาบ,,"An elaborate mix of dried spices used in lap Lanna , a category of minced meat salads from Northern Thailand . Some of the ingredients used in this spice mix are : coriander seed , nutmeg , cloves , cinnamon , star anise , prickly ash and long pepper"
Phrik pon,พริกป่น,,"Crushed dried chillies , used extensively in Thai cuisine , for instance in lap , and for making several types of nam chim and nam phrik ( dipping sauces and chilli pastes ) . Also served as one of the standard accompaniments to noodles soups"
Phrik Thai dam,พริกไทยดำ,Black pepper,
Phrik Thai ( Phrik Thai khao ),พริกไทย ( พริกไทยขาว ),White pepper,
Thian khao plueak,เทียนข้าวเปลือก,Fennel seeds,Most often used as one of the spices in northern Thai phrik larb /lap
