Team,Stadium,Capacity,City/Area
CV Teruel,Los Planos,"3,500",Teruel
Unicaja Almería,Moisés Ruiz,"1,750",Almería
Ushuaïa Ibiza Voley,Es Viver,"1,000",Ibiza
Urbia Voley Palma,Son Moix,"5,076",Palma
UBE L'Illa-Grau,Ciutat Esportiva,700,Castellón de la Plana
Textil Santanderina,Matilde de la Torre,"1,000",Cabezón de la Sal
Vecindario ACE Gran Canaria,Pabellón Municipal,"3,000","Vecindario , Santa Lucía de Tirajana"
Conectabalear CV Manacor,Na Capellera,500,Manacor
Río Duero-Soria,Los Pajaritos,"2,000",Soria
Melilla,Javier Imbroda Ortiz,"3,800",Melilla
FC Barcelona,Parc Esportiu Llobregat,"2,500",Barcelona
Intasa San Sadurniño,Pavillón Municipal,300,San Sadurniño
