Rank 1,Name,Circulation,Founded,Publisher
1,The Australian Women 's Weekly,"470,331",1933,Bauer Media Group
2,Better Homes And Gardens,"388,110",1979,Pacific Magazines
3,Woman 's Day,"350,495",1953,Bauer Media Group
4,New Idea,"293,031",1902,Pacific Magazines
5,That 's Life !,"218,161",1994,Pacific Magazines
6,Reader 's Digest,"205,807",1946,The Reader 's Digest Association
7,Take 5,"180,110",1998,Bauer Media Group
8,Super Food Ideas,"163,292",,NewsLifeMedia
9,TV Week,"155,664",1957,Bauer Media Group
10,Who,"126,124",1992,Pacific Magazines
11,Delicious,"115,162",2001,NewsLifeMedia
12,Australian House and Garden,"113,105",1948,Bauer Media Group
13,Recipes+,"110,027",2003,Bauer Media Group
14,Cosmopolitan,"105,212",,Bauer Media Group
15,NW,"100,494",1993,Bauer Media Group
16,Donna Hay,"97,033",2001,NewsLifeMedia
17,Women 's Health,"92,596",2005,Pacific Magazines
18,Marie Claire,"90,519",1995,Pacific Magazines
19,Dolly,"90,175",1970,Bauer Media Group
20,OK !,"90,096",2004,Bauer Media Group
