Airfield,State,Period of operation,Current use
Bruning Army Air Field,Nebraska,1942-1945,Mid-America Feed Yard
Courtland Army Airfield,Alabama,1942-1946,Courtland Airport
Dodd Army Airfield,Texas,1911-1945,Fort Sam Houston
Dodge City Army Air Field,Kansas,1942-1945,Stanley Feed Yard
Gardner Army Airfield,California,1941-1945,Farmland
George Field,Illinois,,Lawrenceville-Vincennes International Airport
Harris Neck Army Air Field,Georgia,1942-1944,Harris Neck National Wildlife Refuge
Hobbs Army Airfield,New Mexico,1942-1948,Hobbs Industrial Airpark
Lemoore Army Air Field,California,1942-1945,Farmland
Lowry Army Airfield,Colorado,,Housing
Marfa Army Airfield,Texas,,Marfa Municipal Airport
McCook Army Air Field,Nebraska,,Farmland
Moore Army Airfield,Massachusetts,1929-1995,State Police driver training facility
Miller Field,New York,,Park
Muskogee Army Airfield,Oklahoma,,Love-Hatbox Sports Complex
Ross Army Airfield,California,,Santa Anita Golf Course
Waco Army Airfield,Texas,,TSTC Waco Airport
Walnut Ridge Army Air Field,Arkansas,1942-1944,Walnut Ridge Regional Airport
Blytheville Army Air Field,Arkansas,1942-1948,Arkansas International Airport
Newport Army Air Field,Arkansas,1942-1944,Newport Municipal Airport
