School,Outgoing coach,Date announced,Reason,Replacement
Florida Atlantic,Howard Schnellenberger,August 11,Retired,Carl Pelini
Ole Miss,Houston Nutt,November 7,Resigned,Hugh Freeze
New Mexico,George Barlow ( interim ),November 16,Permanent replacement,Bob Davie
Arizona,Tim Kish ( interim ),November 21,Permanent replacement,Rich Rodriguez
Akron,Rob Ianello,November 26,Fired,Terry Bowden
Memphis,Larry Porter,November 27,Fired,Justin Fuente
Illinois,Ron Zook,November 27,Fired,Tim Beckman
UAB,Neil Callaway,November 27,Fired,Garrick McGee
Kansas,Turner Gill,November 27,Fired,Charlie Weis
Arizona State,Dennis Erickson,November 27,Fired,Todd Graham
Ohio State,Luke Fickell ( interim ),November 28,Permanent replacement,Urban Meyer
UCLA,Rick Neuheisel,November 28,Fired,Jim Mora
Washington State,Paul Wulff,November 29,Fired,Mike Leach
Texas A & M,Mike Sherman,December 1,Fired,Kevin Sumlin
Colorado State,Steve Fairchild,December 4,Fired,Jim McElwain
Fresno State,Pat Hill,December 4,Fired,Tim DeRuyter
Tulane,Mark Hutson ( interim ),December 5,Permanent replacement,Curtis Johnson
Arkansas State,Hugh Freeze,December 5,Hired by Ole Miss,Gus Malzahn
Hawaiʻi,Greg McMackin,December 5,Retired,Norm Chow
North Carolina,Everett Withers ( interim ),December 7,Permanent replacement,Larry Fedora
