Original NFL team,Player,Pos,College,Conf
Arizona Cardinals,Kwamie Lassiter,S,Kansas,Big Eight
Arizona Cardinals,Oscar McBride,TE,Notre Dame,Ind . ( I-A )
Carolina Panthers,Matt Campbell,G,South Carolina,SEC
Cincinnati Bengals,Jason Burns,RB,Wisconsin,Big Ten
Cleveland Browns,Brandon Bennett,RB,South Carolina,SEC
Dallas Cowboys,Billy Davis,WR,Pittsburgh,Big East
Dallas Cowboys,Oronde Gadsden,WR,Winston-Salem State,CIAA
Dallas Cowboys,Mike Gruttadauria,C,Central Florida,Ind . ( I-AA )
Detroit Lions,Ron Rice,S,Eastern Michigan,MAC
Houston Oilers,Josh Evans,DT,UAB,Ind . ( I-AA )
Houston Oilers,Dennis Lundy,RB,Northwestern,Big Ten
Indianapolis Colts,Steve Morrison,LB,Michigan,Big Ten
Indianapolis Colts,Marcus Pollard,TE,Bradley,-
Jacksonville Jaguars,Mike Hollis,K,Idaho,Big Sky
Miami Dolphins,Ethan Albright,LS,North Carolina,ACC
Miami Dolphins,Kirby Dar Dar,WR,Syracuse,Big East
Miami Dolphins,Brent Moss,RB,Wisconsin,Big Ten
Minnesota Vikings,Greg DeLong,TE,North Carolina,ACC
New York Jets,Chad Cascadden,LB,Wisconsin,Big Ten
New York Jets,Wayne Chrebet,WR,Hofstra,Ind . ( Div . III )
