Club,League/Division,Lvl,State,City
Salisbury United,South Australian State League 2,4,South Australia,Adelaide
Sandown Lions,Victorian State League Division 5,8,Victoria,Melbourne
Sandringham,Victorian State League Division 3,6,Victoria,Melbourne
Seaford Rangers,National Premier Leagues State League 2,4,South Australia,Adelaide
Seaford United,Victorian State League Division 2,5,Victoria,Melbourne
Sebastopol Vikings,Victorian State League Division 4,7,Victoria,Ballarat
Shamrock Rovers Perth,Football West State League Division 2,4,Western Australia,Perth
Singleton Strikers,Northern NSW State League Division 1,3,New South Wales,Singleton
Skye United,Victorian State League Division 3,6,Victoria,Melbourne
Somerset FC,Northern Championship,3,Tasmania,Burnie
Somerville Eagles,Victorian State League Division 5,8,Victoria,Somerville
Springvale White Eagles,National Premier Leagues Victoria 3,5,Victoria,Springvale
Sorrento,National Premier Leagues Western Australia,2,Western Australia,Perth
South Adelaide Panthers,National Premier Leagues State League 1,3,South Australia,Adelaide
South Cardiff,Northern NSW State League Division 1,3,New South Wales,Lake Macquarie
South East United,Southern Conference,4,Tasmania,Sorell
South Hobart FC,National Premier Leagues Tasmania,2,Tasmania,Hobart
South Melbourne,National Premier Leagues Victoria,2,Victoria,Melbourne
South Springvale,Victorian State League Division 1,4,Victoria,Melbourne
South West Queensland Thunder,Queensland Premier League,3,Queensland,Toowoomba
