Team,Winners,Runners-up,Years winners,Years runners-up
Kilkenny,20,16,"1955 , 1957 , 1958 , 1959 , 1961 , 1962 , 1963 , 1970 , 1973 , 1974 , 1988 , 1989 , 1992 , 2005 , 2006 , 2007 , 2009 , 2012 , 2014 , 2017","1956 , 1960 , 1964 , 1965 , 1967 , 1968 , 1990 , 1991 , 1993 , 1998 , 2000 , 2002 , 2003 , 2004 , 2011 , 2018"
Wexford,17,14,"1954 , 1956 , 1965 , 1967 , 1968 , 1969 , 1987 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2018 , 2020","1959 , 1961 , 1962 , 1963 , 1970 , 1973 , 1989 , 1992 , 2005 , 2006 , 2007 , 2013 , 2016 , 2019"
Dublin,7,9,"1960 , 1964 , 1966 , 2003 , 2011 , 2013 , 2016","1954 , 1957 , 1958 , 1969 , 1977 , 1997 , 2010 , 2014 , 2015"
Offaly,5,5,"1977 , 1981 , 1990 , 1993 , 1994","1966 , 1974 , 1987 , 1995 , 2008"
Galway,3,4,"2010 , 2015 , 2019","2009 , 2012 , 2017 , 2020"
Laois,2,4,"1980 , 1991","1981 , 1988 , 1996 , 2001"
Westmeath,1,1,1982,1955
UCD,1,0,2004,
Antrim,1,0,2008,
Carlow,0,1,,1980
Wicklow,0,1,,1982
Meath,0,1,,1994
